Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;2,24;2,24;2,22;2,22;1.581;3.511
2019-08-13;2,06;2,26;2,06;2,26;2.060;4.256
2019-08-12;2,30;2,30;2,30;2,30;0;0
2019-08-06;2,24;2,24;2,24;2,24;713;1.597
2019-08-05;2,30;2,30;2,12;2,30;3.970;8.764
2019-08-02;2,70;2,70;2,30;2,38;1.077;2.497
2019-08-01;2,70;2,70;2,70;2,70;2.000;5.400
2019-07-31;2,78;2,78;2,78;2,78;0;0
2019-07-30;2,76;2,76;2,76;2,76;0;0
2019-07-29;2,68;2,68;2,68;2,68;0;0
2019-07-26;2,62;2,62;2,60;2,60;685;1.795
2019-07-25;2,78;2,78;2,70;2,70;94;261
2019-07-24;2,34;2,34;2,34;2,34;800;1.872
2019-07-23;2,44;2,44;2,32;2,34;156;381
2019-07-22;2,52;2,52;2,52;2,52;2.000;5.040
2019-07-19;2,60;2,60;2,60;2,60;0;0
2019-07-18;2,62;2,62;2,62;2,62;0;0
2019-07-17;2,54;2,54;2,54;2,54;0;0
2019-07-16;2,46;2,46;2,46;2,46;3;7
2019-07-15;2,54;2,54;2,54;2,54;0;0
2019-07-12;2,66;2,66;2,54;2,54;1.952;5.192
2019-07-11;2,74;2,74;2,74;2,74;0;0
2019-07-10;2,78;2,78;2,78;2,78;0;0
2019-07-09;2,74;2,74;2,74;2,74;0;0
2019-07-08;2,78;2,78;2,78;2,78;0;0
2019-07-05;2,78;2,78;2,78;2,78;75;209
2019-07-04;2,86;2,86;2,86;2,86;0;0
2019-07-03;2,78;2,78;2,78;2,78;0;0
2019-07-02;2,70;2,70;2,70;2,70;0;0
2019-07-01;2,70;2,70;2,70;2,70;50;135
2019-06-28;2,78;2,78;2,78;2,78;0;0
2019-06-27;2,78;2,78;2,70;2,70;2.000;5.560
2019-06-26;2,88;2,88;2,88;2,88;0;0
2019-06-25;2,80;2,80;2,80;2,80;0;0
2019-06-24;2,72;2,72;2,72;2,72;0;0
2019-06-21;2,64;2,64;2,64;2,64;0;0
2019-06-20;2,56;2,56;2,56;2,56;0;0
2019-06-19;2,56;2,56;2,56;2,56;0;0
2019-06-18;2,56;2,56;2,56;2,56;0;0
2019-06-17;2,56;2,56;2,56;2,56;0;0
2019-06-14;2,56;2,56;2,56;2,56;1;3
2019-06-13;2,58;2,58;2,58;2,58;0;0
2019-06-12;2,58;2,58;2,58;2,58;0;0
2019-06-11;2,58;2,58;2,58;2,58;0;0
2019-06-07;2,58;2,58;2,58;2,58;0;0
2019-06-06;2,64;2,64;2,64;2,64;1;3
2019-06-05;2,62;2,62;2,62;2,62;336;880
2019-06-04;2,80;2,80;2,80;2,80;0;0
2019-06-03;2,78;2,78;2,78;2,78;0;0
2019-05-31;2,70;2,70;2,70;2,70;0;0
2019-05-30;2,62;2,62;2,62;2,62;0;0
2019-05-29;2,58;2,58;2,58;2,58;0;0
2019-05-28;2,50;2,50;2,50;2,50;0;0
2019-05-27;2,50;2,50;2,48;2,50;771;1.921
2019-05-24;2,56;2,56;2,56;2,56;0;0
2019-05-23;2,38;2,76;2,38;2,50;5.934;14.670
2019-05-22;2,52;2,62;2,52;2,62;51;129
2019-05-21;2,60;2,60;2,60;2,60;1.000;2.600
2019-05-20;2,68;2,68;2,68;2,68;0;0
2019-05-17;2,60;2,60;2,60;2,60;0;0
2019-05-16;2,52;2,52;2,52;2,52;0;0
2019-05-15;2,42;2,44;2,42;2,44;3;7
2019-05-14;2,36;2,36;2,36;2,36;0;0
2019-05-10;2,36;2,36;2,36;2,36;0;0
2019-05-09;2,30;2,30;2,30;2,30;0;0
2019-05-08;2,24;2,24;2,24;2,24;80;179
2019-05-07;2,34;2,34;2,34;2,34;0;0
2019-05-06;2,26;2,26;2,26;2,26;0;0
2019-05-03;2,22;2,22;2,22;2,22;0;0
2019-05-02;2,16;2,16;2,16;2,16;0;0
2019-04-30;2,16;2,16;2,16;2,16;0;0
2019-04-29;2,16;2,16;2,16;2,16;0;0
2019-04-26;2,16;2,16;2,16;2,16;0;0
2019-04-25;2,14;2,14;2,14;2,14;0;0
2019-04-24;2,14;2,14;2,14;2,14;0;0
2019-04-23;2,14;2,14;2,14;2,14;0;0
2019-04-18;2,24;2,24;2,14;2,14;2.000;4.480
2019-04-17;2,30;2,30;2,22;2,30;753;1.732
2019-04-16;2,36;2,36;2,36;2,36;0;0
2019-04-15;2,34;2,34;2,30;2,30;3.000;6.940
2019-04-12;2,42;2,42;2,42;2,42;2.000;4.840
2019-04-11;2,50;2,50;2,50;2,50;0;0
2019-04-10;2,42;2,42;2,42;2,42;0;0
2019-04-09;2,36;2,36;2,36;2,36;0;0
2019-04-08;2,30;2,30;2,30;2,30;50;115
2019-04-05;2,50;2,50;2,50;2,50;0;0
2019-04-04;2,42;2,42;2,42;2,42;0;0
2019-04-03;2,36;2,36;2,36;2,36;0;0
2019-04-02;2,30;2,30;2,30;2,30;0;0
2019-04-01;2,30;2,34;2,18;2,34;9.651;21.512
2019-03-29;2,33;2,36;2,33;2,36;72;169
2019-03-28;2,37;2,41;2,37;2,41;198;469
2019-03-27;2,45;2,45;2,45;2,45;0;0
2019-03-26;2,38;2,38;2,30;2,38;942;2.221
2019-03-25;2,46;2,46;2,42;2,46;2.251;5.527
2019-03-22;2,54;2,54;2,54;2,54;1;3
2019-03-21;2,47;2,47;2,47;2,47;0;0
2019-03-20;2,37;2,37;2,37;2,37;2.002;4.745
2019-03-19;2,45;2,45;2,45;2,45;1;2
2019-03-18;2,38;2,46;2,38;2,41;2.967;7.141
2019-03-15;2,49;2,49;2,20;2,31;2.688;5.914
2019-03-14;2,57;2,57;2,57;2,57;0;0
2019-03-13;2,50;2,50;2,50;2,50;0;0
2019-03-12;2,38;2,43;2,35;2,43;1.812;4.301
2019-03-11;2,46;2,46;2,46;2,46;0;0
2019-03-08;2,27;2,39;2,27;2,39;4.151;9.449
2019-03-07;2,34;2,34;2,34;2,34;0;0
2019-03-06;2,31;2,31;2,31;2,31;2.000;4.620
2019-03-05;2,39;2,39;2,39;2,39;0;0
2019-03-04;2,36;2,36;2,36;2,36;0;0
2019-03-01;2,31;2,31;2,31;2,31;0;0
2019-02-28;2,25;2,31;2,20;2,31;238;534
2019-02-27;2,27;2,27;2,25;2,25;2.099;4.764
2019-02-26;2,52;2,52;2,20;2,20;2.249;5.588
2019-02-25;2,52;2,60;2,52;2,60;52;134
2019-02-22;2,70;2,70;2,60;2,60;40;108
2019-02-21;2,85;2,88;2,62;2,62;3.171;8.623
2019-02-20;2,94;2,94;2,94;2,94;0;0
2019-02-19;2,94;2,94;2,94;2,94;0;0
2019-02-18;2,84;2,92;2,84;2,92;1.500;4.260
2019-02-15;2,85;2,93;2,85;2,93;31;88
2019-02-14;2,94;2,94;2,94;2,94;0;0
2019-02-13;2,94;2,94;2,94;2,94;0;0
2019-02-12;2,92;2,92;2,92;2,92;0;0
2019-02-11;2,84;2,84;2,84;2,84;0;0
2019-02-08;2,76;2,76;2,76;2,76;4;11
2019-02-07;2,85;2,85;2,85;2,85;809;2.306
2019-02-06;2,94;2,94;2,94;2,94;0;0
2019-02-05;2,94;2,94;2,94;2,94;0;0
2019-02-04;2,94;2,94;2,94;2,94;0;0
2019-02-01;2,80;2,93;2,80;2,93;4;11
2019-01-31;2,89;2,89;2,89;2,89;0;0
2019-01-30;2,81;2,81;2,65;2,81;690;1.935
2019-01-29;2,86;2,90;2,86;2,90;100;286
2019-01-28;2,95;2,95;2,95;2,95;471;1.389
2019-01-25;2,94;2,94;2,94;2,94;0;0
2019-01-24;2,86;2,94;2,86;2,94;78;223
2019-01-23;2,95;2,95;2,95;2,95;0;0
2019-01-22;2,95;2,95;2,95;2,95;0;0
2019-01-21;2,93;2,93;2,80;2,87;172;504
2019-01-18;2,99;3,03;2,99;3,03;670;2.019
2019-01-17;2,81;2,94;2,81;2,93;1.540;4.346
2019-01-16;2,90;2,90;2,90;2,90;0;0
2019-01-15;2,88;2,88;2,72;2,82;2.852;8.053
2019-01-14;3,01;3,01;2,81;2,98;7.403;21.947
2019-01-11;2,70;2,90;2,63;2,82;3.476;9.407
2019-01-10;2,47;2,62;2,35;2,62;3.250;8.001
2019-01-09;2,01;2,01;2,01;2,01;0;0
2019-01-08;2,02;2,02;1,90;1,95;525;1.042
2019-01-07;2,18;2,18;2,06;2,06;380;798
2019-01-04;2,17;2,25;2,17;2,25;1;2
2019-01-03;2,24;2,24;2,24;2,24;0;0
2019-01-02;2,08;2,52;2,08;2,24;8.269;18.369
2018-12-28;1,455;2,10;1,455;2,10;5.137;7.706
2018-12-27;1,54;1,54;1,35;1,41;1.081;1.552
2018-12-21;1,55;1,55;1,55;1,55;255;395
2018-12-20;1,60;1,60;1,60;1,60;16;26
2018-12-19;1,50;1,54;1,50;1,54;353;542
2018-12-14;1,50;1,98;1,50;1,98;4.100;7.404
2018-12-13;2,00;2,03;1,52;1,52;650;1.201
2018-12-12;2,16;2,19;2,16;2,19;146;315
2018-12-11;2,16;2,16;2,16;2,16;4;9
2018-12-10;2,23;2,23;2,23;2,23;250;558
2018-12-07;2,32;2,32;1,40;2,304;565;945
2018-12-06;2,28;2,28;2,28;2,28;0;0
2018-12-05;2,40;2,40;2,00;2,384;675;1.456
2018-12-04;2,40;3,184;2,40;3,184;3;8
2018-12-03;2,792;2,792;2,792;2,792;0;0
2018-11-30;2,088;3,192;0,44;3,184;3.375;6.866
2018-11-29;3,16;3,16;3,16;3,16;0;0
2018-11-28;2,248;3,16;2,248;3,16;63;141
2018-11-27;3,16;3,16;3,16;3,16;0;0
2018-11-26;2,44;3,16;2,44;3,16;100;244
2018-11-23;3,16;3,16;3,16;3,16;0;0
2018-11-22;3,16;3,16;3,16;3,16;0;0
2018-11-21;2,088;3,16;2,088;3,16;1;1
2018-11-20;2,088;3,16;2,088;3,16;300;626
2018-11-19;2,08;2,64;2,08;2,64;50;104
2018-11-16;3,16;3,16;3,16;3,16;0;0
2018-11-15;3,16;3,16;3,16;3,16;0;0
2018-11-14;3,16;3,16;3,16;3,16;0;0
2018-11-13;2,04;3,16;2,04;3,16;35;71
2018-11-12;3,312;3,312;2,624;2,624;163;538
2018-11-09;2,064;3,32;2,064;3,32;0;0
2018-11-08;3,304;3,304;3,304;3,304;0;0
2018-11-07;2,008;3,264;2,008;3,264;1;1
2018-11-06;2,04;2,76;2,04;2,76;0;0
2018-11-05;3,312;3,312;3,312;3,312;0;0
2018-11-02;3,304;3,304;3,304;3,304;0;0
2018-11-01;2,48;3,208;2,40;2,888;1.353;4.122
2018-10-31;2,744;2,744;2,744;2,744;0;0
2018-10-30;3,00;3,00;3,00;3,00;0;0
2018-10-29;3,432;3,432;2,52;2,76;213;731
2018-10-26;3,456;3,456;3,456;3,456;0;0
2018-10-25;3,20;3,20;2,48;3,12;150;456
2018-10-24;3,704;3,704;3,704;3,704;0;0
2018-10-23;3,20;3,504;3,20;3,504;38;120
2018-10-22;3,504;3,504;3,504;3,504;0;0
2018-10-19;2,904;2,904;2,904;2,904;0;0
