Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;14,235;14,29;13,915;13,935;661.242;9.314.304
2019-08-13;14,18;14,285;13,95;14,285;1.230.964;17.401.790
2019-08-12;14,26;14,43;14,155;14,30;750.533;10.708.809
2019-08-09;14,145;14,425;14,00;14,25;910.881;12.928.413
2019-08-08;14,185;14,39;14,035;14,235;698.171;9.934.006
2019-08-07;14,00;14,15;13,93;14,015;955.430;13.385.792
2019-08-06;13,85;14,39;13,695;13,895;2.313.007;32.367.002
2019-08-05;14,67;15,30;14,40;15,115;2.990.501;44.812.916
2019-08-02;14,025;15,605;14,025;15,50;2.589.225;38.465.264
2019-08-01;13,925;14,23;13,69;14,23;1.787.511;25.115.352
2019-07-31;14,53;14,53;14,00;14,00;1.990.471;28.181.346
2019-07-30;15,055;15,055;14,52;14,56;1.834.552;26.921.648
2019-07-29;14,88;15,045;14,745;15,00;1.130.645;16.849.740
2019-07-26;15,15;15,165;14,76;14,865;979.825;14.561.990
2019-07-25;15,525;15,53;14,98;15,05;1.533.040;23.303.056
2019-07-24;15,52;15,65;15,345;15,40;898.044;13.859.101
2019-07-23;15,505;15,625;15,46;15,52;831.264;12.903.491
2019-07-22;15,72;15,72;15,45;15,57;764.043;11.883.732
2019-07-19;15,695;15,86;15,495;15,72;967.869;15.171.331
2019-07-18;15,605;15,735;15,515;15,735;1.103.811;17.285.266
2019-07-17;15,875;15,955;15,66;15,66;1.148.391;18.073.584
2019-07-16;15,85;15,95;15,80;15,95;808.858;12.857.212
2019-07-15;15,94;15,95;15,705;15,945;853.332;13.513.671
2019-07-12;15,95;15,95;15,865;15,945;416.486;6.631.000
2019-07-11;15,895;15,975;15,855;15,925;1.077.858;17.170.110
2019-07-10;15,815;15,98;15,76;15,90;810.458;12.870.170
2019-07-09;15,905;15,945;15,82;15,835;685.394;10.872.225
2019-07-08;15,865;16,005;15,865;15,875;1.017.120;16.207.211
2019-07-05;15,975;16,045;15,96;15,99;1.094.313;17.497.944
2019-07-04;15,875;15,965;15,84;15,965;562.658;8.960.524
2019-07-03;15,93;15,995;15,80;15,80;1.108.447;17.585.886
2019-07-02;16,00;16,04;15,90;15,90;980.086;15.625.289
2019-07-01;16,075;16,145;15,825;15,935;1.170.203;18.679.236
2019-06-28;16,00;16,095;15,93;16,075;1.510.926;24.224.106
2019-06-27;15,86;16,035;15,85;16,00;1.387.700;22.164.260
2019-06-26;15,99;16,015;15,89;15,90;1.089.737;17.366.436
2019-06-25;16,00;16,14;15,89;16,00;2.535.060;40.565.280
2019-06-24;16,20;16,35;15,825;15,945;4.974.793;79.884.496
2019-06-21;15,60;15,735;15,53;15,545;1.267.068;19.729.910
2019-06-20;15,365;15,70;15,295;15,535;934.207;14.498.037
2019-06-19;15,20;15,335;15,155;15,215;816.860;12.445.343
2019-06-18;15,10;15,20;14,84;15,125;846.079;12.776.857
2019-06-17;15,08;15,315;14,99;15,03;765.358;11.551.608
2019-06-14;14,90;15,16;14,815;15,065;1.205.838;18.104.210
2019-06-13;14,80;15,00;14,645;14,87;1.504.800;22.311.228
2019-06-12;14,59;14,845;14,55;14,805;982.715;14.483.070
2019-06-11;14,545;14,70;14,475;14,59;721.171;10.541.687
2019-06-07;14,45;14,615;14,405;14,495;473.561;6.876.689
2019-06-06;14,325;14,495;14,27;14,425;476.393;6.870.819
2019-06-05;14,37;14,56;14,195;14,395;778.471;11.201.346
2019-06-04;14,315;14,565;14,29;14,455;792.854;11.466.018
2019-06-03;14,055;14,395;13,955;14,395;856.235;12.228.831
2019-05-31;14,05;14,11;13,965;14,11;656.816;9.249.270
2019-05-30;13,925;14,175;13,885;14,135;351.206;4.955.089
2019-05-29;13,86;13,96;13,75;13,835;585.826;8.113.703
2019-05-28;14,045;14,175;13,99;14,05;1.503.075;21.136.248
