Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;8,335;8,357;8,125;8,205;11.066.713;90.872.408
2019-08-13;8,325;8,38;8,214;8,315;11.474.467;95.181.864
2019-08-12;8,45;8,556;8,329;8,39;11.135.669;93.528.608
2019-08-09;8,60;8,617;8,371;8,405;17.500.488;148.009.936
2019-08-08;8,758;8,808;8,595;8,614;17.509.400;151.170.720
2019-08-07;9,22;9,261;8,79;8,824;16.604.970;148.338.464
2019-08-06;9,15;9,195;9,068;9,101;8.113.609;74.053.272
2019-08-05;9,184;9,272;9,131;9,152;9.082.112;83.344.824
2019-08-02;9,041;9,226;9,04;9,184;11.805.856;108.337.816
2019-08-01;9,044;9,146;9,02;9,101;9.911.795;90.131.128
2019-07-31;9,00;9,054;8,86;9,054;15.496.938;139.491.344
2019-07-30;9,46;9,50;9,174;9,226;13.528.541;125.519.824
2019-07-29;9,429;9,535;9,425;9,488;4.376.368;41.547.352
2019-07-26;9,521;9,528;9,422;9,46;7.409.564;70.114.528
2019-07-25;9,59;9,732;9,491;9,517;10.567.240;101.417.528
2019-07-24;9,495;9,562;9,477;9,538;6.533.670;62.251.968
2019-07-23;9,516;9,542;9,378;9,51;6.693.594;63.451.400
2019-07-22;9,443;9,493;9,381;9,46;4.213.977;39.766.560
2019-07-19;9,44;9,503;9,418;9,45;7.167.037;67.798.144
2019-07-18;9,362;9,472;9,344;9,416;6.297.855;59.293.864
2019-07-17;9,397;9,465;9,38;9,387;6.549.515;61.655.252
2019-07-16;9,405;9,461;9,367;9,40;4.599.660;43.262.756
2019-07-15;9,387;9,457;9,336;9,405;5.530.597;51.979.288
2019-07-12;9,46;9,493;9,364;9,409;8.074.828;76.019.632
2019-07-11;9,601;9,651;9,461;9,488;8.469.915;80.743.152
2019-07-10;9,63;9,657;9,511;9,541;8.789.423;84.008.928
2019-07-09;9,62;9,742;9,62;9,67;6.457.650;62.455.380
2019-07-08;9,617;9,686;9,575;9,633;4.686.155;45.129.808
2019-07-05;9,82;9,857;9,57;9,664;7.648.650;74.206.152
2019-07-04;9,85;9,86;9,752;9,80;4.788.996;46.919.332
2019-07-03;9,80;9,886;9,769;9,856;7.037.793;69.295.480
2019-07-02;9,649;9,81;9,611;9,761;7.581.513;73.866.264
2019-07-01;9,67;9,671;9,528;9,612;7.682.560;73.792.808
2019-06-28;9,52;9,589;9,473;9,551;7.367.726;70.306.296
2019-06-27;9,62;9,623;9,514;9,549;7.212.558;68.880.816
2019-06-26;9,63;9,68;9,569;9,597;8.278.826;79.540.256
2019-06-25;9,75;9,845;9,509;9,665;11.314.162;109.657.200
2019-06-24;9,941;9,941;9,788;9,789;9.205.039;90.381.864
2019-06-21;9,884;9,944;9,866;9,928;16.083.879;159.400.240
2019-06-20;9,994;10,032;9,839;9,87;8.398.176;83.090.792
2019-06-19;10,066;10,066;9,863;9,914;10.002.793;99.272.160
2019-06-18;9,915;10,26;9,839;10,09;15.079.902;151.948.800
2019-06-17;9,935;9,966;9,839;9,90;6.498.174;64.439.564
2019-06-14;9,932;9,956;9,892;9,935;6.078.715;60.348.828
2019-06-13;9,918;10,006;9,914;9,947;7.120.275;70.939.320
2019-06-12;9,846;9,956;9,84;9,934;6.829.636;67.814.424
2019-06-11;9,942;9,964;9,849;9,877;7.899.231;78.123.216
2019-06-07;9,749;9,994;9,749;9,925;13.638.114;135.144.256
2019-06-06;9,574;9,79;9,563;9,755;11.440.740;111.369.848
2019-06-05;9,44;9,594;9,43;9,593;8.138.924;77.739.064
2019-06-04;9,402;9,498;9,398;9,453;6.440.030;60.904.424
2019-06-03;9,328;9,438;9,291;9,416;7.313.784;68.735.400
2019-05-31;9,35;9,381;9,281;9,349;6.820.206;63.660.688
2019-05-30;9,42;9,453;9,379;9,379;3.870.353;36.374.364
2019-05-29;9,415;9,481;9,378;9,418;7.915.074;74.602.032
2019-05-28;9,451;9,495;9,433;9,495;7.747.808;73.452.456
2019-05-27;9,454;9,484;9,42;9,456;3.578.522;33.862.184
2019-05-24;9,349;9,484;9,313;9,444;9.957.835;94.040.824
