Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;3,47;3,47;3,43;3,44;20.381;69.970
2019-08-13;3,54;3,54;3,44;3,44;16.241;55.969
2019-08-12;3,46;3,55;3,44;3,55;8.570;29.648
2019-08-09;3,46;3,49;3,39;3,49;25.960;89.083
2019-08-08;3,43;3,47;3,42;3,47;4.532;15.511
2019-08-07;3,47;3,49;3,42;3,49;14.099;48.637
2019-08-06;3,50;3,50;3,45;3,45;5.403;18.655
2019-08-05;3,42;3,48;3,36;3,46;38.522;131.813
2019-08-02;3,50;3,50;3,42;3,42;26.991;92.964
2019-08-01;3,50;3,52;3,45;3,46;3.410;11.900
2019-07-31;3,46;3,49;3,45;3,47;18.263;63.135
2019-07-30;3,49;3,49;3,45;3,45;6.733;23.284
2019-07-29;3,48;3,50;3,46;3,48;23.953;83.402
2019-07-26;3,48;3,50;3,47;3,49;2.253;7.824
2019-07-25;3,47;3,54;3,47;3,48;10.503;36.959
2019-07-24;3,47;3,56;3,47;3,49;11.173;39.211
2019-07-23;3,48;3,50;3,46;3,50;10.537;36.674
2019-07-22;3,48;3,50;3,46;3,50;1.644;5.698
2019-07-19;3,47;3,50;3,47;3,50;94;328
2019-07-18;3,46;3,55;3,46;3,50;10.825;37.861
2019-07-17;3,55;3,55;3,49;3,49;694;2.433
2019-07-16;3,54;3,55;3,49;3,54;896;3.151
2019-07-15;3,57;3,57;3,49;3,50;10.313;36.379
2019-07-12;3,57;3,60;3,49;3,50;7.724;27.391
2019-07-11;3,64;3,64;3,57;3,57;995;3.577
2019-07-10;3,67;3,67;3,57;3,66;1.057;3.799
2019-07-09;3,61;3,61;3,50;3,57;13.640;48.231
2019-07-08;3,65;3,68;3,55;3,55;9.147;33.108
2019-07-05;3,60;3,65;3,57;3,65;17.104;61.720
2019-07-04;3,55;3,61;3,50;3,56;13.442;48.142
2019-07-03;3,48;3,55;3,45;3,55;8.498;29.586
2019-07-02;3,58;3,58;3,48;3,48;11.426;40.122
2019-07-01;3,61;3,61;3,52;3,54;4.750;16.871
2019-06-28;3,50;3,57;3,49;3,56;12.759;45.272
2019-06-27;3,48;3,50;3,47;3,49;7.771;27.164
2019-06-26;3,45;3,50;3,45;3,50;8.212;28.507
2019-06-25;3,41;3,46;3,41;3,45;25.502;87.855
2019-06-24;3,40;3,48;3,40;3,43;10.227;34.921
2019-06-21;3,50;3,50;3,40;3,40;5.193;17.836
2019-06-20;3,42;3,45;3,40;3,45;1.050;3.579
2019-06-19;3,41;3,49;3,39;3,43;13.644;46.333
2019-06-18;3,45;3,45;3,39;3,39;4.996;17.106
2019-06-17;3,46;3,46;3,43;3,45;424;1.463
2019-06-14;3,39;3,42;3,39;3,42;4.810;16.319
2019-06-13;3,44;3,44;3,39;3,39;2.373;8.052
2019-06-12;3,39;3,45;3,39;3,45;177;602
2019-06-11;3,47;3,49;3,39;3,39;25.859;88.122
2019-06-07;3,45;3,51;3,41;3,41;2.911;10.159
2019-06-06;3,42;3,53;3,42;3,53;3.600;12.552
2019-06-05;3,37;3,55;3,37;3,48;6.543;22.776
2019-06-04;3,38;3,38;3,37;3,37;1.919;6.478
2019-06-03;3,44;3,45;3,37;3,37;15.868;53.938
2019-05-31;3,60;3,60;3,40;3,40;9.862;34.177
2019-05-30;3,46;3,51;3,46;3,51;12;42
2019-05-29;3,39;3,59;3,35;3,45;40.123;138.659
2019-05-28;3,36078;3,39052;3,30129;3,37069;77.516;260.693
2019-05-27;3,31121;3,42026;3,30129;3,33103;46.653;156.165
2019-05-24;3,3806;3,3806;3,34095;3,34095;21.281;71.573
2019-05-23;3,3806;3,3806;3,35086;3,36078;9.140;30.770
2019-05-22;3,42026;3,42026;3,36078;3,37069;14.847;50.114
2019-05-21;3,42026;3,42026;3,36078;3,37069;25.868;87.263
2019-05-20;3,41034;3,42026;3,37069;3,40043;11.706;39.549
2019-05-17;3,42026;3,42026;3,37069;3,41034;12.558;42.430
2019-05-16;3,37069;3,46983;3,25172;3,40043;98.879;333.071
2019-05-15;3,49957;3,5194;3,39052;3,49957;11.153;38.728
2019-05-14;3,46983;3,49957;3,42026;3,44009;15.172;52.761
2019-05-13;3,48966;3,48966;3,40043;3,45;5.479;18.803
2019-05-10;3,50948;3,52931;3,45991;3,48966;56.188;197.171
2019-05-09;3,61853;3,61853;3,50948;3,50948;1.268;4.540
2019-05-08;3,56897;3,57888;3,52931;3,55905;1.356;4.831
2019-05-07;3,53922;3,54914;3,48966;3,54914;4.795;16.883
2019-05-06;3,5194;3,55905;3,5194;3,55905;8.754;30.903
2019-05-03;3,61853;3,61853;3,50948;3,52931;19.564;69.289
2019-05-02;3,56897;3,63836;3,52931;3,60862;10.909;38.740
2019-04-30;3,56897;3,60862;3,54914;3,58879;1.436;5.141
2019-04-29;3,5194;3,60862;3,50948;3,58879;13.750;49.145
2019-04-26;3,61853;3,61853;3,46983;3,5194;21.698;75.754
2019-04-25;3,56897;3,56897;3,53922;3,56897;252;896
2019-04-24;3,60862;3,60862;3,5194;3,56897;10.226;36.512
2019-04-23;3,59871;3,65819;3,55905;3,60862;12.707;45.809
2019-04-18;3,61853;3,65819;3,58879;3,62845;20.943;75.868
2019-04-17;3,46983;3,57888;3,46983;3,57888;27.167;95.249
2019-04-16;3,42026;3,45;3,40043;3,42026;4.450;15.257
2019-04-15;3,40043;3,41034;3,40043;3,41034;7.751;26.399
2019-04-12;3,40043;3,45;3,37069;3,45;1.650;5.626
2019-04-11;3,26164;3,41034;3,26164;3,40043;15.791;52.327
2019-04-10;3,28147;3,29138;3,25172;3,28147;8.296;27.050
2019-04-09;3,27155;3,29138;3,2319;3,26164;9.115;29.779
2019-04-08;3,22198;3,27155;3,22198;3,25172;9.527;30.967
2019-04-05;3,24181;3,30129;3,24181;3,28147;12.106;39.349
2019-04-04;3,20216;3,25172;3,18233;3,25172;23.692;76.112
2019-04-03;3,25172;3,25172;3,19224;3,20216;30.226;97.174
2019-04-02;3,25172;3,27155;3,2319;3,24181;5.405;17.652
2019-04-01;3,27155;3,29138;3,25172;3,27155;29.001;95.029
2019-03-29;3,24181;3,27155;3,24181;3,26164;27.785;90.841
2019-03-28;3,24181;3,27155;3,21207;3,21207;21.370;69.707
2019-03-27;3,20216;3,25172;3,20216;3,24181;6.501;20.911
2019-03-26;3,27155;3,27155;3,2319;3,25172;10.706;34.678
2019-03-25;3,18233;3,25172;3,18233;3,25172;6.735;21.808
2019-03-22;3,26164;3,27155;3,19224;3,25172;20.103;65.364
