Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;4,894;4,894;4,586;4,616;574.922;2.668.822
2019-08-13;4,74;4,91;4,62;4,874;760.350;3.632.134
2019-08-12;5,105;5,105;4,726;4,77;750.759;3.611.882
2019-08-09;5,20;5,205;5,02;5,055;588.049;2.985.754
2019-08-08;5,175;5,235;5,125;5,215;579.250;3.009.463
2019-08-07;5,185;5,20;5,005;5,08;634.283;3.231.530
2019-08-06;5,23;5,35;5,115;5,115;1.204.887;6.288.480
2019-08-05;4,902;5,245;4,898;5,145;1.197.610;6.131.921
2019-08-02;4,836;5,015;4,792;4,976;1.285.763;6.305.779
2019-08-01;4,578;5,075;4,544;5,005;2.987.903;14.581.706
2019-07-31;4,50;4,57;4,416;4,50;1.422.464;6.410.851
2019-07-30;4,522;4,542;4,37;4,388;915.642;4.052.706
2019-07-29;4,612;4,624;4,524;4,538;434.857;1.983.646
2019-07-26;4,598;4,648;4,548;4,576;416.976;1.915.763
2019-07-25;4,668;4,746;4,542;4,608;1.104.957;5.108.370
2019-07-24;4,682;4,716;4,548;4,64;950.437;4.400.883
2019-07-23;4,372;4,708;4,336;4,606;2.145.244;9.888.915
2019-07-22;4,542;4,654;4,192;4,35;2.469.816;10.830.992
2019-07-19;4,444;4,544;4,384;4,52;1.197.305;5.370.703
2019-07-18;4,482;4,544;4,374;4,392;1.200.412;5.311.652
2019-07-17;4,692;4,692;4,438;4,516;1.579.218;7.138.904
2019-07-16;4,682;4,71;4,602;4,708;622.038;2.895.117
2019-07-15;4,762;4,762;4,61;4,67;577.091;2.693.164
2019-07-12;4,722;4,76;4,63;4,688;690.697;3.241.020
2019-07-11;4,942;4,942;4,66;4,74;1.083.337;5.138.919
2019-07-10;4,902;5,01;4,808;4,85;802.047;3.903.447
2019-07-09;4,97;4,97;4,768;4,89;830.262;4.032.955
2019-07-08;5,065;5,22;4,966;4,994;546.367;2.758.301
2019-07-05;5,195;5,20;5,00;5,075;585.159;2.965.730
2019-07-04;5,255;5,34;5,16;5,165;556.404;2.918.477
2019-07-03;5,20;5,215;5,10;5,18;255.266;1.318.598
2019-07-02;5,245;5,25;5,13;5,175;302.599;1.566.254
2019-07-01;5,34;5,445;5,20;5,225;552.897;2.937.143
2019-06-28;5,21;5,28;5,20;5,265;453.206;2.381.231
2019-06-27;5,23;5,30;5,175;5,22;415.507;2.175.172
2019-06-26;4,952;5,24;4,94;5,17;759.432;3.904.534
2019-06-25;5,00;5,045;4,93;4,96;364.338;1.812.541
2019-06-24;5,23;5,25;5,005;5,005;358.639;1.817.330
2019-06-21;5,21;5,25;5,095;5,195;917.998;4.762.549
2019-06-20;4,94;5,565;4,88;5,15;2.539.436;13.356.011
2019-06-19;4,81;4,97;4,79;4,882;806.774;3.938.543
2019-06-18;4,70;4,86;4,618;4,834;727.871;3.489.096
2019-06-17;4,70;4,76;4,65;4,698;483.356;2.272.762
