Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;42,58;42,58;41,32;41,53;251.234;10.477.423
2019-08-13;42,20;42,95;41,42;42,50;367.952;15.512.412
2019-08-12;43,50;44,10;42,52;42,79;225.919;9.696.196
2019-08-09;45,00;45,00;43,79;43,95;291.406;12.834.776
2019-08-08;44,87;45,07;44,54;45,07;263.825;11.837.618
2019-08-07;44,49;44,98;43,60;44,20;281.251;12.441.815
2019-08-06;44,51;45,30;44,30;44,36;231.717;10.336.032
2019-08-05;45,30;45,35;44,24;44,56;444.097;19.879.730
2019-08-02;46,35;46,40;44,26;45,95;628.809;28.775.144
2019-08-01;48,21;49,10;47,65;48,00;325.425;15.703.401
2019-07-31;47,85;49,24;47,85;48,61;238.972;11.640.844
2019-07-30;49,36;49,36;47,38;47,78;308.946;14.819.156
2019-07-29;50,48;50,48;49,25;49,39;252.597;12.514.515
2019-07-26;50,12;51,76;49,17;50,52;384.168;19.462.166
2019-07-25;53,50;53,70;50,00;50,00;677.442;34.726.492
2019-07-24;50,94;51,04;49,48;49,48;536.338;26.725.244
2019-07-23;50,50;50,88;48,11;50,68;620.760;31.032.702
2019-07-22;52,32;52,54;51,76;51,86;161.875;8.409.066
2019-07-19;51,44;52,56;51,14;52,30;196.610;10.259.701
2019-07-18;51,14;51,26;50,52;50,76;201.244;10.232.881
2019-07-17;53,28;53,70;51,32;51,66;189.526;9.901.187
2019-07-16;52,68;53,44;52,64;53,30;177.037;9.402.033
2019-07-15;52,12;52,88;51,58;52,54;203.684;10.674.289
2019-07-12;50,30;51,76;50,30;51,62;301.127;15.481.083
2019-07-11;50,50;51,06;49,05;50,68;596.370;29.937.210
2019-07-10;52,28;52,34;50,42;50,52;294.791;15.068.610
2019-07-09;53,36;53,36;51,66;52,48;277.258;14.496.579
2019-07-08;54,00;54,74;53,54;53,92;218.764;11.825.443
2019-07-05;55,40;55,40;53,50;54,26;329.006;17.845.964
2019-07-04;56,40;56,82;55,82;56,24;126.354;7.107.573
2019-07-03;56,24;56,80;55,66;56,38;151.637;8.546.468
2019-07-02;57,02;57,10;55,92;56,22;147.581;8.298.355
2019-07-01;56,70;57,78;56,34;56,88;239.248;13.656.779
2019-06-28;54,24;55,56;54,24;55,44;161.132;8.890.477
2019-06-27;53,58;54,62;53,30;54,10;153.587;8.313.284
2019-06-26;53,06;53,86;52,64;53,16;152.581;8.117.613
2019-06-25;53,20;53,80;52,82;53,34;185.893;9.898.253
2019-06-24;54,08;54,54;53,22;53,50;136.927;7.327.307
2019-06-21;54,50;54,86;54,08;54,16;275.732;14.960.028
2019-06-20;54,72;55,52;54,42;54,56;188.700;10.332.967
2019-06-19;53,18;54,98;52,88;54,52;335.446;18.239.022
2019-06-18;52,00;53,12;50,92;53,02;211.404;11.055.573
2019-06-17;52,94;52,94;52,04;52,08;112.727;5.886.619
2019-06-14;53,30;53,38;52,46;52,48;157.275;8.303.019
2019-06-13;52,32;53,88;52,22;53,28;249.155;13.269.693
2019-06-12;52,22;52,48;51,42;52,32;171.305;8.924.418
2019-06-11;51,08;53,52;51,08;52,60;319.250;16.839.032
2019-06-07;50,14;50,90;49,99;50,48;194.433;9.821.338
2019-06-06;50,68;50,68;49,36;49,74;179.541;8.961.846
2019-06-05;50,94;51,44;49,96;50,26;251.611;12.747.921
2019-06-04;48,84;50,86;48,33;50,44;329.822;16.493.768
2019-06-03;48,68;49,65;48,39;49,51;363.068;17.866.784
2019-05-31;49,59;49,80;48,04;48,84;354.448;17.259.082
2019-05-30;50,26;50,72;50,14;50,28;130.169;6.553.441
2019-05-29;51,36;51,46;50,00;50,00;303.934;15.289.054
2019-05-28;52,10;52,44;51,40;51,54;737.455;38.060.204
2019-05-27;52,50;52,56;51,54;51,80;138.722;7.188.197
2019-05-24;52,56;53,16;51,86;51,92;195.696;10.245.508
2019-05-23;53,84;53,86;52,00;52,08;243.143;12.730.862
2019-05-22;54,32;55,44;54,32;54,84;197.585;10.840.484
2019-05-21;54,08;54,88;54,08;54,46;200.958;10.935.583
2019-05-20;54,52;54,94;53,66;53,86;304.191;16.470.825
2019-05-17;55,00;55,12;54,28;55,02;186.946;10.256.644
2019-05-16;53,94;55,28;53,78;55,28;316.282;17.340.234
2019-05-15;54,50;54,60;53,30;54,26;253.758;13.696.756
2019-05-14;53,26;54,46;53,26;54,20;212.682;11.490.710
2019-05-13;54,88;54,94;52,86;53,02;240.672;12.855.556
2019-05-10;55,00;55,66;54,36;54,64;290.449;15.937.678
2019-05-09;56,4209;56,4209;53,8376;54,2682;345.496;18.880.494
2019-05-08;55,3445;57,2037;55,2467;56,3426;284.204;16.022.324
2019-05-07;56,9493;57,5168;55,3445;55,6968;370.890;20.847.136
2019-05-06;57,3407;57,5364;56,2839;57,3211;256.183;14.582.537
2019-05-03;57,7321;59,5717;57,5168;59,2781;196.993;11.636.098
2019-05-02;59,6891;59,6891;58,5149;58,828;260.666;15.349.505
2019-04-30;58,828;60,5502;58,828;59,7283;344.605;20.619.938
2019-04-29;58,6128;59,8261;58,4758;59,2781;189.253;11.201.977
2019-04-26;58,7497;59,0237;57,8299;58,7106;260.465;15.250.498
2019-04-25;59,3173;59,4543;56,4013;58,5736;410.578;23.949.802
2019-04-24;59,2977;59,7478;58,3583;58,6715;380.338;22.365.542
2019-04-23;59,9827;59,9827;57,3994;59,3564;354.402;21.022.410
2019-04-18;59,0042;59,5326;58,5345;59,4934;298.513;17.718.134
2019-04-17;59,4934;60,0609;58,6519;59,2781;396.593;23.466.320
2019-04-16;58,4953;59,5913;58,417;59,4934;316.667;18.729.100
2019-04-15;57,9669;58,5736;57,4385;58,5736;272.307;15.849.848
2019-04-12;56,0686;58,6715;55,9316;57,5951;431.532;24.767.516
2019-04-11;52,5264;56,1665;52,2916;56,1665;616.402;33.897.384
2019-04-10;51,861;52,6047;51,6262;52,4481;190.769;9.983.444
2019-04-09;51,7632;52,3699;51,6066;51,8023;185.692;9.649.120
2019-04-08;51,9589;52,1742;51,2935;51,7828;196.923;10.174.941
2019-04-05;51,2544;52,3894;50,7455;52,2133;302.194;15.710.420
2019-04-04;51,2544;51,4892;50,6477;51,3718;234.593;11.997.885
2019-04-03;49,904;51,3326;49,904;51,3326;356.278;18.203.458
2019-04-02;48,3188;49,1799;48,0448;49,0821;256.476;12.533.399
2019-04-01;45,99;48,2699;45,99;48,2503;383.866;18.252.556
2019-03-29;45,1876;45,8823;44,9821;45,5888;385.086;17.519.780
2019-03-28;45,6377;46,2052;45,08;45,1289;245.623;11.181.610
2019-03-27;46,0193;46,7532;45,6964;45,853;237.330;10.941.111
2019-03-26;45,4029;46,1465;45,0995;45,9998;303.679;13.909.126
2019-03-25;45,5007;46,0683;44,6103;45,2757;321.823;14.582.380
2019-03-22;48,5439;48,8374;46,1563;46,1955;370.387;17.315.270
2019-03-21;48,7689;49,1212;47,5849;48,1818;246.815;11.907.823
2019-03-20;50,0606;50,2367;48,9059;49,0038;204.342;10.096.203
2019-03-19;48,7396;50,4128;48,6515;50,3346;208.298;10.435.538
2019-03-18;48,5243;49,0429;48,1427;48,7102;214.032;10.401.746
2019-03-15;47,9861;48,495;47,5849;48,495;444.854;21.477.534
2019-03-14;48,5341;49,0821;47,8981;48,0253;283.208;13.676.819
2019-03-13;47,9959;48,7885;47,6632;48,4754;213.945;10.359.199
2019-03-12;48,9255;49,1016;48,1036;48,1623;161.849;7.822.816
2019-03-11;48,172;48,5928;47,6437;48,4558;215.652;10.395.271
2019-03-08;48,6319;48,6319;47,6534;48,0938;355.580;17.057.344
2019-03-07;50,5498;50,589;48,6222;49,1016;303.648;14.929.397
2019-03-06;51,6262;51,6262;50,4911;50,8238;155.387;7.898.695
2019-03-05;51,861;52,2329;50,4128;51,5675;250.742;12.851.688
2019-03-04;50,0997;52,6243;50,0214;51,9002;367.868;18.987.112
