Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;290,00;290,00;282,00;286,00;7.955;2.269.264
2019-08-13;330,00;330,00;266,00;286,00;22.937;6.568.416
2019-08-12;330,00;334,00;326,00;328,00;2.409;792.472
2019-08-09;330,00;334,00;330,00;330,00;3.893;1.288.852
2019-08-08;330,00;338,00;330,00;332,00;4.429;1.473.080
2019-08-07;334,00;336,00;326,00;328,00;5.180;1.707.124
2019-08-06;330,00;338,00;326,00;332,00;5.184;1.718.386
2019-08-05;330,00;332,95;325,00;325,00;6.128;2.010.851
2019-08-02;342,30;348,00;326,00;326,00;5.789;1.920.844
2019-08-01;342,75;346,70;328,50;342,30;1.488;503.331
2019-07-31;350,50;351,00;342,50;346,00;5.589;1.930.161
2019-07-30;359,00;359,00;348,00;351,50;2.833;995.816
2019-07-29;360,50;361,50;355,50;357,50;2.623;940.588
2019-07-26;350,00;363,00;350,00;359,00;6.627;2.365.117
2019-07-25;351,00;354,50;349,50;352,50;8.971;3.151.063
2019-07-24;342,00;352,50;342,00;350,50;9.965;3.461.113
2019-07-23;350,00;354,00;341,50;342,00;8.044;2.773.683
2019-07-22;352,50;352,50;343,00;349,50;5.567;1.934.521
2019-07-19;350,00;354,50;348,50;350,00;3.807;1.336.971
2019-07-18;350,50;351,00;347,00;349,50;4.323;1.509.904
2019-07-17;359,00;360,00;351,50;352,00;2.615;926.834
2019-07-16;361,50;361,50;354,50;358,50;4.610;1.651.528
2019-07-15;352,00;366,00;351,50;358,50;16.976;6.047.957
2019-07-12;346,00;351,50;345,50;349,00;7.622;2.659.000
2019-07-11;358,00;358,00;348,00;349,00;7.808;2.740.841
2019-07-10;362,00;362,00;354,00;355,00;4.967;1.765.619
2019-07-09;359,00;364,00;355,00;361,00;5.228;1.878.473
2019-07-08;368,50;368,50;360,00;362,00;4.717;1.711.794
2019-07-05;371,00;371,00;364,50;366,50;3.416;1.254.711
2019-07-04;370,00;376,50;366,50;369,00;2.484;918.307
2019-07-03;371,50;372,50;368,50;369,50;3.460;1.280.856
2019-07-02;374,00;375,00;369,00;369,00;3.529;1.306.037
2019-07-01;379,50;380,50;369,50;371,00;5.361;2.008.584
2019-06-28;370,50;377,00;370,50;375,50;5.049;1.894.408
2019-06-27;373,00;375,00;367,00;372,00;3.909;1.452.942
2019-06-26;375,50;380,00;369,00;371,50;4.833;1.805.027
2019-06-25;372,00;378,50;368,50;372,50;5.669;2.122.168
2019-06-24;370,00;373,50;365,50;369,50;2.745;1.014.355
2019-06-21;365,00;368,00;363,50;367,00;15.939;5.837.815
2019-06-20;370,00;371,50;365,50;365,50;2.625;966.289
2019-06-19;373,50;375,50;365,00;367,00;3.985;1.470.416
2019-06-18;370,50;377,50;364,50;373,00;6.681;2.493.078
2019-06-17;360,50;368,00;357,50;367,50;3.480;1.268.646
2019-06-14;369,00;370,50;356,50;358,00;5.371;1.934.779
2019-06-13;371,50;379,50;367,00;372,00;5.690;2.124.401
2019-06-12;362,50;377,50;361,00;368,50;12.727;4.689.667
2019-06-11;363,00;363,00;356,00;361,00;5.220;1.881.531
2019-06-07;344,50;367,00;342,50;360,00;10.829;3.860.312
2019-06-06;340,1148;344,0525;336,6694;340,6071;5.342;1.819.630
2019-06-05;335,685;340,6071;332,2395;337,6538;8.835;2.980.361
2019-06-04;335,685;337,1616;328,7941;332,7317;8.296;2.757.215
2019-06-03;346,5135;350,9434;330,7629;335,1928;5.119;1.728.022
2019-05-31;348,9746;348,9746;337,1616;347,0057;4.297;1.478.841
2019-05-30;337,1616;348,4824;336,1772;347,4979;5.738;1.981.539
2019-05-29;344,5447;351,4356;331,2551;335,1928;13.924;4.722.896
2019-05-28;327,8097;345,0369;327,8097;344,5447;15.703;5.323.544
2019-05-27;332,7317;332,7317;328,3019;330,7629;1.205;398.499
2019-05-24;338,146;338,146;327,3175;329,7785;3.478;1.149.236
2019-05-23;346,5135;346,5135;334,2084;336,1772;3.529;1.191.478
2019-05-22;340,1148;346,5135;338,146;346,5135;7.548;2.592.434
2019-05-21;333,224;339,1304;331,2551;338,6382;3.003;1.012.843
2019-05-20;339,6226;339,6226;329,2863;330,7629;2.994;997.886
2019-05-17;336,6694;339,1304;333,7162;338,6382;3.612;1.215.649
2019-05-16;339,1304;339,1304;332,7317;338,146;6.757;2.268.592
2019-05-15;340,1148;343,0681;330,2707;337,6538;6.247;2.103.199
2019-05-14;322,3954;338,6382;322,3954;338,6382;10.117;3.370.889
2019-05-13;340,6071;340,6071;323,3798;323,3798;9.674;3.167.262
2019-05-10;349,4668;351,4356;335,1928;338,146;10.767;3.709.291
2019-05-09;360,7875;369,155;355,8655;358,3265;6.972;2.521.781
2019-05-08;355,3733;363,7408;352,9122;361,2797;12.410;4.435.492
2019-05-07;356,3577;359,3109;353,4044;356,3577;14.342;5.096.627
2019-05-06;337,6538;358,8187;337,1616;354,3888;10.211;3.586.486
2019-05-03;328,3019;348,4824;328,3019;348,4824;8.383;2.854.683
2019-05-02;328,3019;328,3019;323,872;328,3019;4.759;1.554.568
2019-04-30;320,4266;326,8253;320,4266;326,3331;2.739;891.937
2019-04-29;324,3642;326,3331;321,9032;322,3954;4.865;1.572.681
2019-04-26;318,95;324,8564;318,4578;322,3954;2.180;701.194
2019-04-25;318,4578;320,9188;316,9811;319,4422;3.933;1.255.791
2019-04-24;314,5201;320,4266;314,5201;319,4422;2.495;795.828
2019-04-23;310,0902;315,5045;302,2149;315,5045;3.926;1.223.551
2019-04-18;314,0279;318,4578;309,598;311,5669;4.504;1.410.988
2019-04-17;318,95;319,4422;313,5357;315,0123;3.635;1.146.817
2019-04-16;317,9655;319,9344;317,4733;319,4422;1.628;519.499
2019-04-15;319,4422;324,3642;317,4733;319,4422;2.447;782.849
2019-04-12;317,4733;321,9032;313,0435;321,9032;3.691;1.177.258
2019-04-11;312,5513;317,4733;309,598;316,4889;2.944;926.984
2019-04-10;316,4889;317,9655;308,6136;310,0902;3.472;1.081.267
2019-04-09;323,872;323,872;309,598;318,4578;10.248;3.240.787
2019-04-08;326,8253;328,3019;322,8876;327,8097;3.236;1.055.310
2019-04-05;329,7785;329,7785;322,8876;327,8097;2.678;873.190
2019-04-04;327,8097;328,3019;324,8564;327,3175;2.106;688.206
2019-04-03;318,95;329,7785;318,95;326,8253;7.433;2.419.836
2019-04-02;323,3798;323,872;313,5357;315,0123;6.457;2.047.273
2019-04-01;305,1682;321,411;304,676;321,411;9.174;2.892.110
2019-03-29;298,7695;303,6916;295,324;303,6916;3.495;1.051.346
2019-03-28;295,324;300,2461;292,863;296,8007;3.142;931.211
2019-03-27;302,2149;302,2149;295,8162;297,2929;5.664;1.692.409
2019-03-26;305,6604;308,1214;302,2149;304,1838;3.121;951.163
2019-03-25;309,1058;309,598;303,1993;306,1526;5.395;1.655.302
2019-03-22;310,0902;313,0435;306,6448;311,5669;2.869;892.082
2019-03-21;306,6448;310,5824;302,7071;310,0902;4.322;1.331.011
2019-03-20;302,7071;307,6292;301,2305;304,676;5.003;1.528.183
2019-03-19;296,3084;306,1526;296,3084;301,2305;3.589;1.081.390
2019-03-18;296,8007;297,2929;292,863;296,3084;2.442;721.455
2019-03-15;293,3552;297,2929;293,3552;294,8318;5.527;1.631.188
2019-03-14;293,8474;297,7851;292,863;294,8318;2.936;865.871
2019-03-13;295,324;296,3084;292,3708;295,8162;2.633;774.641
2019-03-12;292,3708;298,7695;292,3708;297,2929;1.222;362.808
2019-03-11;299,2617;299,7539;293,8474;293,8474;4.729;1.400.227
2019-03-08;291,8786;299,2617;287,4487;297,7851;3.895;1.144.228
2019-03-07;306,1526;306,1526;292,3708;293,3552;9.649;2.864.773
2019-03-06;309,598;310,0902;302,7071;304,1838;3.919;1.196.242
2019-03-05;304,676;308,1214;301,2305;307,6292;4.579;1.396.900
