Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2016-12-09;3,416;3,421;3,415;3,421;;
2016-12-08;3,37;3,441;3,3195;3,435;;
2016-12-07;3,443;3,4545;3,355;3,366;;
2016-12-06;3,428;3,444;3,41;3,443;;
2016-12-05;3,404;3,658;3,395;3,429;;
2016-12-04;3,419;3,419;3,41;3,41;;
2016-12-03;3,42;3,42;3,419;3,419;;
2016-12-02;3,442;3,4455;3,41;3,419;;
2016-12-01;3,4675;3,629;3,435;3,4445;;
2016-11-30;3,5035;3,5575;3,4475;3,4705;;
2016-11-29;3,43;3,512;3,422;3,5035;;
2016-11-28;3,4635;3,4825;3,4025;3,422;;
2016-11-27;3,4665;3,4665;3,4655;3,4655;;
2016-11-26;3,4665;3,4665;3,4665;3,4665;;
2016-11-25;3,449;3,5495;3,425;3,4665;;
2016-11-24;3,4345;3,4775;3,4155;3,45;;
2016-11-23;3,4765;3,4815;3,434;3,4365;;
2016-11-22;3,5365;3,5475;3,4745;3,4805;;
2016-11-21;3,5205;3,5365;3,4955;3,5345;;
2016-11-20;3,5205;3,5205;3,5205;3,5205;;
2016-11-19;3,5205;3,5205;3,5205;3,5205;;
2016-11-18;3,6595;3,663;3,5105;3,5205;;
2016-11-17;3,6795;3,6805;3,611;3,6615;;
2016-11-16;3,7255;3,7375;3,6655;3,6755;;
2016-11-15;4,005;4,014;3,598;3,7335;;
2016-11-14;3,365;4,0295;3,338;4,007;;
2016-11-13;3,366;3,368;3,366;3,367;;
2016-11-12;3,367;3,369;3,367;3,368;;
2016-11-11;3,36;3,368;3,33;3,366;;
2016-11-10;3,3615;3,3745;3,261;3,358;;
2016-11-09;3,2165;3,3695;3,205;3,3655;;
2016-11-08;3,37;3,3725;3,297;3,304;;
2016-11-07;3,35;3,383;3,335;3,373;;
2016-11-06;3,347;3,349;3,347;3,348;;
2016-11-05;3,347;3,347;3,347;3,347;;
2016-11-04;3,353;3,356;3,3205;3,347;;
2016-11-03;3,351;3,365;3,346;3,352;;
2016-11-02;3,4715;3,4765;3,33;3,35;;
2016-11-01;3,31;3,4815;3,31;3,4765;;
2016-10-31;3,393;3,397;3,3005;3,311;;
2016-10-30;3,391;3,391;3,388;3,389;;
2016-10-29;3,391;3,391;3,391;3,391;;
2016-10-28;3,4665;3,4715;3,3605;3,391;;
2016-10-27;3,4675;3,4885;3,4615;3,4645;;
2016-10-26;3,4765;3,4765;3,45;3,4705;;
