Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-16;5,862;5,942;5,838;5,93;467.540;2.761.949
2019-08-15;6,00;6,00;5,732;5,82;643.115;3.737.006
2019-08-14;6,264;6,268;5,898;5,918;709.485;4.243.353
2019-08-13;6,152;6,316;6,012;6,228;684.358;4.203.097
2019-08-12;6,358;6,412;6,168;6,188;519.918;3.227.644
2019-08-09;6,484;6,484;6,266;6,292;623.177;3.947.332
2019-08-08;6,564;6,608;6,41;6,51;363.076;2.356.126
2019-08-07;6,394;6,514;6,366;6,416;947.566;6.107.691
2019-08-06;6,298;6,596;6,25;6,448;870.477;5.621.665
2019-08-05;6,406;6,462;6,272;6,334;819.913;5.214.443
2019-08-02;6,482;6,644;6,452;6,564;1.233.540;8.084.528
2019-08-01;6,738;6,86;6,642;6,708;652.617;4.387.387
2019-07-31;6,798;6,95;6,748;6,772;685.675;4.685.819
2019-07-30;6,824;6,96;6,736;6,80;919.095;6.266.747
2019-07-29;6,818;6,882;6,754;6,864;342.306;2.340.857
2019-07-26;6,848;6,956;6,844;6,886;478.232;3.299.576
2019-07-25;7,088;7,088;6,792;6,89;795.336;5.498.971
2019-07-24;6,948;7,092;6,804;7,036;861.719;6.036.946
2019-07-23;6,348;7,022;6,348;6,984;1.736.307;11.927.666
2019-07-22;6,36;6,466;6,328;6,424;454.641;2.908.097
2019-07-19;6,238;6,41;6,154;6,362;762.974;4.818.410
2019-07-18;6,338;6,338;6,106;6,146;825.182;5.089.167
2019-07-17;6,446;6,524;6,36;6,376;511.052;3.284.639
2019-07-16;6,462;6,516;6,388;6,492;714.786;4.618.282
2019-07-15;6,418;6,542;6,416;6,464;652.499;4.227.747
2019-07-12;6,094;6,476;6,08;6,37;1.224.010;7.784.099
2019-07-11;6,202;6,286;6,114;6,154;1.623.114;10.022.493
2019-07-10;6,236;6,354;6,19;6,236;993.035;6.205.186
2019-07-09;6,282;6,29;6,14;6,25;1.665.298;10.373.698
2019-07-08;6,344;6,474;6,262;6,27;616.945;3.909.457
2019-07-05;6,28;6,394;6,238;6,354;983.013;6.205.695
2019-07-04;6,228;6,324;6,226;6,274;872.770;5.466.533
2019-07-03;6,272;6,332;6,198;6,244;978.878;6.125.224
2019-07-02;6,254;6,474;6,15;6,32;1.764.616;11.113.659
2019-07-01;6,716;6,828;6,158;6,24;1.953.156;12.396.887
2019-06-28;6,58;6,616;6,482;6,544;1.044.226;6.826.807
2019-06-27;6,496;6,602;6,434;6,514;1.188.608;7.769.056
2019-06-26;6,32;6,45;6,29;6,448;873.557;5.594.778
2019-06-25;6,402;6,43;6,322;6,344;449.948;2.862.370
2019-06-24;6,80;6,80;6,458;6,458;977.772;6.391.419
2019-06-21;6,65;6,772;6,65;6,732;841.186;5.660.349
2019-06-20;6,698;6,812;6,666;6,666;515.383;3.456.281
2019-06-19;6,41;6,662;6,41;6,642;931.340;6.133.487
2019-06-18;6,302;6,446;6,062;6,406;1.459.772;9.197.866
2019-06-17;6,428;6,456;6,332;6,334;1.018.207;6.483.183
2019-06-14;6,552;6,552;6,268;6,356;1.031.370;6.553.803
2019-06-13;6,66;6,664;6,526;6,55;1.262.998;8.297.788
2019-06-12;6,782;6,834;6,684;6,696;818.609;5.497.515
2019-06-11;6,754;6,922;6,754;6,826;463.978;3.175.469
2019-06-07;6,728;6,75;6,668;6,75;773.206;5.204.776
2019-06-06;6,736;6,84;6,62;6,75;433.722;2.932.106
2019-06-05;6,81;6,854;6,688;6,73;494.685;3.353.458
2019-06-04;6,54;6,842;6,54;6,808;654.288;4.437.180
2019-06-03;6,468;6,59;6,438;6,576;694.723;4.535.732
2019-05-31;6,462;6,578;6,38;6,578;827.079;5.384.652
2019-05-30;6,68;6,684;6,482;6,576;591.798;3.881.622
2019-05-29;6,77;6,78;6,614;6,618;770.063;5.118.660
2019-05-28;6,752;6,964;6,752;6,828;525.887;3.604.287
2019-05-27;6,84;6,886;6,688;6,75;966.245;6.570.470
2019-05-24;6,898;6,952;6,716;6,726;1.122.816;7.607.485
2019-05-23;6,832;6,866;6,772;6,806;940.909;6.416.536
2019-05-22;6,954;6,98;6,83;6,85;611.069;4.196.786
2019-05-21;6,914;6,996;6,85;6,934;605.560;4.194.527
2019-05-20;7,07;7,132;6,742;6,824;1.576.897;10.805.898
2019-05-17;7,088;7,104;6,986;7,05;1.102.722;7.765.215
2019-05-16;7,16;7,20;7,056;7,104;953.336;6.766.560
2019-05-15;7,09;7,216;6,954;7,204;1.460.185;10.346.209
2019-05-14;7,08;7,136;7,032;7,102;1.105.066;7.835.298
2019-05-13;7,344;7,344;7,006;7,092;1.843.987;13.152.253
2019-05-10;7,548;7,638;7,222;7,312;967.909;7.084.205
2019-05-09;7,352;7,388;7,28;7,30;1.116.485;8.165.128
2019-05-08;7,482;7,754;7,342;7,41;1.240.023;9.296.463
2019-05-07;7,39;7,42;7,24;7,288;1.057.354;7.729.007
2019-05-06;7,38;7,42;7,21;7,382;677.227;4.954.299
2019-05-03;7,542;7,59;7,498;7,542;514.119;3.879.659
2019-05-02;7,62;7,644;7,556;7,556;614.593;4.656.593
2019-04-30;7,644;7,696;7,57;7,61;1.140.211;8.683.894
2019-04-29;7,66;7,70;7,562;7,616;754.265;5.747.482
2019-04-26;7,562;7,642;7,484;7,60;697.903;5.286.319
2019-04-25;7,80;7,848;7,488;7,53;1.219.908;9.293.864
2019-04-24;7,76298;7,78721;7,60642;7,63997;1.385.998;10.635.841
2019-04-23;7,93073;7,97733;7,72571;7,74621;1.034.849;8.099.510
2019-04-18;7,87854;7,93446;7,73502;7,89718;970.185;7.632.505
2019-04-17;7,69588;7,87481;7,6642;7,8599;1.319.244;10.316.804
2019-04-16;7,64183;7,68656;7,53746;7,66979;1.044.920;7.970.340
2019-04-15;7,55796;7,64556;7,53932;7,6381;663.032;5.042.942
2019-04-12;7,3082;7,571;7,23737;7,53932;1.380.683;10.332.798
2019-04-11;7,2411;7,31566;7,17027;7,29888;1.182.746;8.588.907
2019-04-10;7,25228;7,28211;7,15536;7,20196;1.541.116;11.091.221
2019-04-09;7,31566;7,34921;7,20569;7,21874;653.895;4.742.639
2019-04-08;7,36225;7,40139;7,30261;7,32125;846.935;6.218.007
