Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2018-11-30;0,07;0,07;0,001;0,001;;
2018-11-29;0,226;0,226;0,052;0,07;;
2018-11-28;0,221;0,2265;0,2195;0,226;;
2018-11-27;0,2205;0,2235;0,2195;0,221;;
2018-11-26;0,221;0,225;0,205;0,2205;;
2018-11-25;0,221;0,221;0,221;0,221;;
2018-11-24;0,221;0,221;0,221;0,221;;
2018-11-23;0,2105;0,2315;0,21;0,221;;
2018-11-22;0,2255;0,23;0,20;0,2105;;
2018-11-21;0,226;0,226;0,2245;0,225;;
2018-11-20;0,216;0,2256;0,203;0,225;;
2018-11-19;0,2055;0,2155;0,2055;0,2155;;
2018-11-18;0,2055;0,2055;0,2055;0,2055;;
2018-11-17;0,2055;0,2055;0,2055;0,2055;;
2018-11-16;0,2145;0,2155;0,1985;0,206;;
2018-11-15;0,215;0,2175;0,2145;0,2155;;
2018-11-14;0,22;0,22;0,2105;0,2155;;
2018-11-13;0,21;0,22;0,21;0,2195;;
2018-11-12;0,2215;0,2215;0,2099;0,21;;
2018-11-11;0,2205;0,2205;0,2205;0,2205;;
2018-11-10;0,2205;0,2205;0,2205;0,2205;;
2018-11-09;0,2175;0,22;0,215;0,22;;
2018-11-08;0,216;0,2175;0,2155;0,2165;;
2018-11-07;0,2205;0,221;0,2155;0,216;;
2018-11-06;0,22;0,2205;0,2155;0,2205;;
2018-11-05;0,2155;0,22;0,2105;0,22;;
2018-11-04;0,2155;0,2155;0,2155;0,2155;;
2018-11-03;0,2155;0,2155;0,2155;0,2155;;
2018-11-02;0,226;0,226;0,2155;0,2155;;
2018-11-01;0,23;0,23;0,2235;0,2255;;
2018-10-31;0,23;0,23;0,2285;0,23;;
2018-10-30;0,23;0,231;0,2285;0,23;;
2018-10-29;0,2299;0,2305;0,2299;0,23;;
2018-10-28;0,2299;0,2299;0,2299;0,2299;;
2018-10-27;0,2299;0,2299;0,2299;0,2299;;
2018-10-26;0,227;0,2354;0,214;0,2299;;
2018-10-25;0,2205;0,227;0,216;0,227;;
2018-10-24;0,218;0,221;0,218;0,2205;;
2018-10-23;0,217;0,222;0,215;0,218;;
2018-10-22;0,225;0,226;0,216;0,2165;;
2018-10-21;0,225;0,225;0,225;0,225;;
2018-10-20;0,225;0,225;0,225;0,225;;
2018-10-19;0,2255;0,229;0,2155;0,2255;;
2018-10-18;0,23;0,23;0,2245;0,2255;;
2018-10-17;0,23;0,233;0,2285;0,23;;
2018-10-16;0,23;0,2305;0,23;0,23;;
2018-10-15;0,2255;0,2355;0,225;0,23;;
2018-10-14;0,2255;0,2255;0,2255;0,2255;;
2018-10-13;0,2255;0,2255;0,2255;0,2255;;
2018-10-12;0,2205;0,2285;0,2205;0,2255;;
2018-10-11;0,225;0,2315;0,212;0,2205;;
2018-10-10;0,2305;0,2315;0,205;0,225;;
2018-10-09;0,2405;0,2405;0,2305;0,2305;;
2018-10-08;0,2355;0,2465;0,235;0,24;;
2018-10-07;0,2355;0,2355;0,2355;0,2355;;
2018-10-06;0,2355;0,2355;0,2355;0,2355;;
2018-10-05;0,241;0,241;0,226;0,236;;
2018-10-04;0,235;0,241;0,2205;0,2405;;
2018-10-03;0,235;0,235;0,235;0,235;;
2018-10-02;0,2355;0,237;0,2325;0,235;;
2018-10-01;0,241;0,241;0,233;0,2355;;
2018-09-30;0,241;0,241;0,241;0,241;;
2018-09-29;0,241;0,241;0,241;0,241;;
2018-09-28;0,239;0,241;0,224;0,241;;
2018-09-27;0,2455;0,2455;0,2385;0,2385;;
2018-09-26;0,2355;0,247;0,224;0,2445;;
2018-09-25;0,2555;0,2555;0,22;0,2355;;
2018-09-24;0,241;0,2565;0,23;0,2545;;
2018-09-23;0,241;0,241;0,241;0,241;;
2018-09-22;0,241;0,241;0,241;0,241;;
2018-09-21;0,2405;0,2415;0,2299;0,241;;
2018-09-20;0,23;0,2405;0,23;0,2405;;
2018-09-19;0,2405;0,2405;0,2295;0,2305;;
2018-09-18;0,2355;0,2405;0,235;0,2405;;
2018-09-17;0,24;0,2405;0,2355;0,2355;;
2018-09-16;0,241;0,241;0,24;0,24;;
2018-09-15;0,241;0,241;0,241;0,241;;
2018-09-14;0,2255;0,241;0,225;0,241;;
2018-09-13;0,2405;0,2405;0,225;0,2255;;
2018-09-12;0,235;0,241;0,235;0,241;;
2018-09-11;0,25;0,251;0,2345;0,2355;;
2018-09-10;0,2455;0,2505;0,2355;0,25;;
2018-09-09;0,2455;0,2455;0,2455;0,2455;;
2018-09-08;0,2455;0,2455;0,2455;0,2455;;
2018-09-07;0,2255;0,246;0,215;0,2455;;
2018-09-06;0,233;0,233;0,225;0,2255;;
2018-09-05;0,235;0,236;0,2295;0,2325;;
2018-09-04;0,2395;0,242;0,227;0,235;;
2018-09-03;0,2405;0,25;0,2345;0,2395;;
2018-09-02;0,2405;0,2405;0,2405;0,2405;;
2018-09-01;0,2405;0,2405;0,2405;0,2405;;
2018-08-31;0,2505;0,2505;0,2405;0,241;;
2018-08-30;0,2555;0,2695;0,222;0,249;;
2018-08-29;0,2705;0,2745;0,252;0,2555;;
2018-08-28;0,256;0,2715;0,2555;0,2705;;
2018-08-27;0,2555;0,265;0,254;0,256;;
2018-08-26;0,2555;0,2555;0,2555;0,2555;;
2018-08-25;0,2555;0,2555;0,2555;0,2555;;
2018-08-24;0,2505;0,256;0,246;0,255;;
2018-08-23;0,251;0,2535;0,2355;0,2505;;
2018-08-22;0,2555;0,2555;0,241;0,2505;;
2018-08-21;0,245;0,255;0,245;0,254;;
2018-08-20;0,265;0,266;0,235;0,245;;
2018-08-19;0,266;0,266;0,266;0,266;;
2018-08-18;0,266;0,266;0,266;0,266;;
2018-08-17;0,275;0,2755;0,2565;0,2655;;
2018-08-16;0,2855;0,2925;0,2735;0,275;;
2018-08-15;0,301;0,301;0,2805;0,2855;;
2018-08-14;0,3005;0,31;0,2935;0,3005;;
2018-08-13;0,3105;0,3105;0,2885;0,3005;;
2018-08-12;0,3105;0,3105;0,3105;0,3105;;
2018-08-11;0,3105;0,3105;0,3105;0,3105;;
2018-08-10;0,3055;0,3115;0,3035;0,311;;
2018-08-09;0,3045;0,3155;0,3045;0,3055;;
2018-08-08;0,3305;0,3306;0,286;0,304;;
2018-08-07;0,326;0,334;0,3245;0,33;;
2018-08-06;0,312;0,326;0,312;0,3255;;
2018-08-05;0,312;0,312;0,312;0,312;;
2018-08-04;0,312;0,312;0,312;0,312;;
2018-08-03;0,326;0,3415;0,31;0,3125;;
2018-08-02;0,3105;0,345;0,2975;0,3265;;
2018-08-01;0,2505;0,325;0,241;0,3105;;
2018-07-31;0,266;0,266;0,25;0,2505;;
2018-07-30;0,2305;0,2655;0,23;0,2655;;
2018-07-29;0,2305;0,2305;0,2305;0,2305;;
2018-07-28;0,2305;0,2305;0,2305;0,2305;;
2018-07-27;0,236;0,236;0,211;0,23;;
2018-07-26;0,2305;0,2605;0,2275;0,235;;
2018-07-25;0,2505;0,2595;0,2305;0,2325;;
2018-07-24;0,221;0,275;0,215;0,2505;;
2018-07-23;0,22;0,227;0,2105;0,2205;;
2018-07-22;0,2205;0,2205;0,2205;0,2205;;
2018-07-21;0,2205;0,2205;0,2205;0,2205;;
2018-07-20;0,231;0,2375;0,22;0,2205;;
2018-07-19;0,226;0,2375;0,218;0,23;;
2018-07-18;0,25;0,2655;0,2015;0,225;;
2018-07-17;0,215;0,255;0,2105;0,25;;
2018-07-16;0,21;0,2155;0,1987;0,215;;
2018-07-15;0,21;0,21;0,21;0,21;;
2018-07-14;0,21;0,21;0,21;0,21;;
2018-07-13;0,211;0,295;0,19;0,2105;;
2018-07-12;0,2105;0,222;0,192;0,2105;;
2018-07-11;0,195;0,213;0,1945;0,2105;;
