Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2015-09-15;6,795;6,795;6,795;6,795;0;0
2015-09-14;6,81;6,816;6,787;6,808;1.405;9.569
2015-09-11;6,817;6,817;6,797;6,797;100;681
2015-09-10;6,805;6,818;6,792;6,817;3.512;23.907
2015-09-09;6,797;6,807;6,797;6,797;772;5.251
2015-09-08;6,765;6,797;6,765;6,797;125;849
2015-09-07;6,766;6,793;6,765;6,765;0;0
2015-09-04;6,765;6,79;6,765;6,766;1.000;6.790
2015-09-03;6,767;6,793;6,767;6,767;1.330;9.029
2015-09-02;6,747;6,782;6,747;6,767;2.521;17.093
2015-09-01;6,742;6,762;6,742;6,747;2.001;13.527
2015-08-31;6,70;6,761;6,70;6,742;300;2.020
2015-08-28;6,726;6,765;6,71;6,759;4.007;26.977
2015-08-27;6,757;6,762;6,739;6,739;9.515;64.250
2015-08-26;6,729;6,77;6,729;6,77;670;4.528
2015-08-25;6,75;6,751;6,729;6,729;6.400;43.194
2015-08-24;6,74;6,772;6,714;6,75;7.591;51.326
2015-08-21;6,765;6,78;6,755;6,755;2.330;15.789
2015-08-20;6,755;6,781;6,755;6,77;2.411;16.333
2015-08-19;6,764;6,781;6,76;6,76;2.345;15.891
2015-08-18;6,767;6,787;6,767;6,777;10.751;72.901
2015-08-17;6,757;6,78;6,757;6,767;203;1.376
2015-08-14;6,755;6,78;6,755;6,757;8.100;54.887
2015-08-13;6,772;6,78;6,755;6,755;3.015;20.429
2015-08-12;6,77;6,782;6,77;6,772;2.340;15.861
2015-08-11;6,751;6,771;6,751;6,77;0;0
2015-08-10;6,757;6,78;6,757;6,757;331;2.240
2015-08-07;6,76;6,773;6,757;6,757;920;6.230
2015-08-06;6,772;6,776;6,759;6,76;600;4.065
2015-08-05;6,79;6,79;6,772;6,772;1.592;10.798
2015-08-04;6,788;6,80;6,775;6,787;1.058;7.187
2015-08-03;6,775;6,803;6,775;6,777;2.859;19.409
2015-07-31;6,761;6,79;6,761;6,775;150;1.018
2015-07-30;6,755;6,79;6,755;6,761;1.725;11.694
2015-07-29;6,798;6,798;6,741;6,741;1.000;6.798
2015-07-28;6,765;6,793;6,762;6,762;915;6.203
2015-07-27;6,781;6,80;6,761;6,761;4.538;30.790
2015-07-24;6,78;6,807;6,76;6,781;7.850;53.290
2015-07-23;6,765;6,79;6,756;6,78;25.370;171.932
2015-07-22;6,78;6,802;6,765;6,765;1.446;9.825
2015-07-21;6,751;6,811;6,751;6,80;10.199;69.171
2015-07-20;6,733;6,784;6,713;6,761;1.613;10.918
2015-07-17;6,779;6,815;6,733;6,733;6.229;42.394
2015-07-16;6,79;6,823;6,79;6,79;4.356;29.637
2015-07-15;6,745;6,817;6,745;6,79;14.988;101.222
2015-07-14;6,728;6,777;6,728;6,745;3.208;21.672
2015-07-13;6,705;6,772;6,705;6,739;5.611;37.877
2015-07-10;6,713;6,755;6,71;6,71;3.730;25.073
2015-07-09;6,74;6,746;6,724;6,724;1.045;7.034
2015-07-08;6,728;6,751;6,728;6,74;9.318;62.843
2015-07-07;6,709;6,748;6,709;6,739;1.743;11.753
2015-07-06;6,71;6,748;6,701;6,72;7.983;53.665
2015-07-03;6,75;6,75;6,739;6,739;18.546;125.018
2015-07-02;6,724;6,75;6,724;6,75;9.756;65.762
2015-07-01;6,701;6,752;6,701;6,724;1.519;10.233
2015-06-30;6,70;6,753;6,70;6,733;7.335;49.451
2015-06-29;6,719;6,756;6,65;6,72;625;4.220
2015-06-26;6,738;6,758;6,734;6,734;500;3.379
2015-06-25;6,734;6,755;6,734;6,738;4.250;28.690
2015-06-24;6,719;6,752;6,719;6,734;4.870;32.787
2015-06-23;6,709;6,75;6,709;6,719;5.584;37.598
2015-06-22;6,714;6,742;6,709;6,709;1.055;7.104
2015-06-19;6,726;6,749;6,714;6,714;6.720;45.224
2015-06-18;6,702;6,74;6,702;6,726;11.600;78.168
2015-06-17;6,701;6,732;6,701;6,709;5.736;38.574
2015-06-16;6,706;6,734;6,701;6,701;3.291;22.151
2015-06-15;6,681;6,732;6,681;6,706;2.396;16.121
2015-06-12;6,71;6,742;6,69;6,69;1.850;12.427
2015-06-11;6,68;6,733;6,68;6,71;4.600;30.907
2015-06-10;6,66;6,725;6,64;6,70;34.088;228.660
2015-06-09;6,705;6,735;6,685;6,70;15.265;102.484
2015-06-08;6,715;6,725;6,685;6,725;3.280;22.026
2015-06-05;6,671;6,721;6,671;6,693;2.149;14.428
2015-06-04;6,701;6,711;6,691;6,691;3.300;22.083
2015-06-03;6,71;6,743;6,701;6,701;6.095;40.995
2015-06-02;6,72;6,739;6,71;6,71;0;0
2015-06-01;6,72;6,742;6,72;6,72;1.500;10.104
2015-05-29;6,73;6,769;6,706;6,72;7.773;52.405
2015-05-28;6,73;6,762;6,73;6,73;2.511;16.973
2015-05-27;6,752;6,752;6,73;6,73;0;0
2015-05-26;6,739;6,756;6,731;6,731;557;3.762
2015-05-22;6,74;6,755;6,72;6,739;4.243;28.646
2015-05-21;6,73;6,73;6,72;6,72;0;0
2015-05-20;6,75;6,757;6,721;6,721;2.420;16.323
2015-05-19;6,77;6,771;6,75;6,75;3.350;22.649
