Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;2,028;2,038;1,971;2,00;88.555;177.268
2019-08-13;2,012;2,078;1,98;2,034;117.963;238.109
2019-08-12;2,006;2,04;2,00;2,014;25.484;51.246
2019-08-09;2,004;2,042;1,991;2,004;25.029;50.202
2019-08-08;2,07;2,07;2,002;2,016;97.013;197.090
2019-08-07;2,038;2,078;1,975;2,032;540.890;1.087.596
2019-08-06;2,018;2,034;1,963;2,01;135.696;271.924
2019-08-05;2,00;2,042;1,98;2,002;189.927;380.795
2019-08-02;2,002;2,046;1,972;2,02;98.697;198.819
2019-08-01;2,016;2,068;1,998;2,01;135.523;275.122
2019-07-31;1,943;2,048;1,943;2,022;83.819;167.585
2019-07-30;1,96;2,078;1,92;1,957;113.253;223.788
2019-07-29;2,048;2,114;1,941;1,941;328.954;672.962
2019-07-26;1,928;2,03;1,906;2,004;246.392;485.453
2019-07-25;1,76;1,928;1,76;1,894;116.121;213.117
2019-07-24;1,763;1,808;1,75;1,75;66.853;117.831
2019-07-23;1,76;1,792;1,742;1,763;35.892;63.541
2019-07-22;1,815;1,815;1,729;1,76;129.616;231.682
2019-07-19;1,881;1,881;1,791;1,81;122.472;222.338
2019-07-18;1,901;1,956;1,887;1,887;107.569;204.632
2019-07-17;1,946;1,974;1,895;1,90;243.900;466.643
2019-07-16;1,974;2,016;1,92;1,951;191.078;375.419
2019-07-15;1,961;2,002;1,93;1,95;198.429;387.544
2019-07-12;1,989;2,042;1,94;1,96;632.965;1.249.532
2019-07-11;2,05;2,05;1,933;2,008;305.928;608.223
2019-07-10;1,941;2,068;1,92;2,04;186.885;373.872
2019-07-09;2,008;2,03;1,883;1,91;191.013;370.453
2019-07-08;1,988;2,076;1,965;1,965;468.172;940.429
2019-07-05;1,984;2,12;1,972;1,993;365.158;739.568
2019-07-04;1,881;2,05;1,865;2,004;390.533;770.981
2019-07-03;1,849;1,92;1,84;1,882;274.047;515.961
2019-07-02;1,761;1,883;1,761;1,836;356.206;652.945
2019-07-01;1,81;1,82;1,749;1,785;204.388;364.061
2019-06-28;1,85;1,92;1,743;1,766;303.992;556.402
2019-06-27;1,671;1,858;1,671;1,793;272.726;483.679
2019-06-26;1,616;1,724;1,615;1,684;81.940;137.636
2019-06-25;1,611;1,684;1,61;1,64;80.284;130.016
2019-06-24;1,642;1,683;1,61;1,617;47.538;77.801
2019-06-21;1,667;1,667;1,65;1,662;60.239;100.038
2019-06-20;1,658;1,677;1,609;1,655;55.594;91.855
2019-06-19;1,585;1,639;1,541;1,622;99.943;158.829
2019-06-18;1,644;1,644;1,551;1,567;92.516;146.662
2019-06-17;1,695;1,744;1,60;1,607;248.914;410.548
2019-06-14;1,814;1,837;1,663;1,684;538.953;949.413
2019-06-13;1,676;1,888;1,676;1,857;938.514;1.695.226
2019-06-12;1,566;1,666;1,566;1,65;355.092;575.939
2019-06-11;1,436;1,63;1,436;1,60;558.704;874.243
2019-06-07;1,36;1,487;1,358;1,406;376.886;536.819
2019-06-06;1,447;1,447;1,35;1,364;277.777;381.538
