Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;37,58;37,76;37,00;37,28;150.519;5.617.066
2019-08-13;37,50;37,60;37,02;37,50;126.149;4.710.721
2019-08-12;37,00;37,80;36,96;37,56;114.779;4.304.629
2019-08-09;37,80;37,84;37,18;37,28;62.124;2.320.899
2019-08-08;37,12;37,48;37,04;37,48;133.856;4.991.549
2019-08-07;37,16;37,46;36,90;37,06;134.121;4.985.443
2019-08-06;37,30;37,50;37,02;37,02;84.354;3.139.441
2019-08-05;37,96;38,06;37,24;37,32;122.531;4.594.866
2019-08-02;38,42;38,42;37,88;38,10;82.419;3.143.009
2019-08-01;38,40;38,62;38,16;38,62;122.574;4.718.654
2019-07-31;37,72;38,28;37,52;38,08;277.567;10.551.675
2019-07-30;38,34;38,42;37,68;37,84;130.779;4.959.723
2019-07-29;38,42;38,70;38,12;38,32;91.002;3.495.504
2019-07-26;38,68;38,72;38,40;38,52;88.446;3.407.693
2019-07-25;39,38;39,38;38,50;38,60;117.778;4.574.400
2019-07-24;38,80;39,38;38,80;39,16;120.671;4.730.744
2019-07-23;38,88;39,46;38,70;38,80;164.028;6.380.677
2019-07-22;39,26;39,32;38,90;39,08;90.580;3.539.265
2019-07-19;39,18;39,44;39,08;39,40;119.106;4.678.710
2019-07-18;39,22;39,38;39,02;39,02;79.596;3.111.654
2019-07-17;39,42;39,58;39,32;39,34;104.241;4.112.708
2019-07-16;39,08;39,52;39,02;39,42;95.608;3.762.927
2019-07-15;38,92;39,20;38,82;39,14;86.467;3.376.647
2019-07-12;39,02;39,16;38,84;38,90;53.691;2.092.213
2019-07-11;39,10;39,26;38,84;38,96;89.086;3.471.426
2019-07-10;39,30;39,46;38,98;39,06;114.171;4.471.998
2019-07-09;39,38;39,54;39,20;39,50;134.242;5.295.183
2019-07-08;39,40;39,58;39,20;39,52;78.817;3.110.629
2019-07-05;39,76;39,88;39,42;39,58;80.756;3.196.646
2019-07-04;39,56;39,80;39,44;39,80;73.752;2.922.790
2019-07-03;39,24;39,70;39,22;39,54;122.961;4.851.173
2019-07-02;38,62;39,38;38,54;39,28;127.427;4.994.786
2019-07-01;38,28;38,98;38,22;38,60;133.819;5.169.774
2019-06-28;37,86;38,10;37,74;38,10;81.565;3.096.959
2019-06-27;37,68;38,04;37,52;37,94;98.043;3.709.696
2019-06-26;37,42;37,92;37,36;37,66;63.840;2.406.614
2019-06-25;37,70;37,80;37,40;37,60;49.327;1.853.569
2019-06-24;37,50;37,96;37,46;37,68;55.584;2.098.428
2019-06-21;37,76;37,86;37,32;37,50;91.861;3.449.774
2019-06-20;37,86;38,08;37,54;37,54;105.019;3.967.100
2019-06-19;36,92;37,82;36,84;37,68;137.983;5.184.345
2019-06-18;37,12;37,38;36,92;37,12;75.024;2.789.628
2019-06-17;36,72;37,40;36,72;37,22;127.002;4.724.284
2019-06-14;36,40;36,82;36,38;36,74;62.488;2.292.974
2019-06-13;36,38;36,94;36,38;36,66;120.004;4.414.404
2019-06-12;36,60;36,60;36,26;36,48;103.010;3.753.292
2019-06-11;36,46;36,96;36,46;36,64;108.103;3.968.532
2019-06-07;36,12;36,56;36,04;36,46;156.310;5.683.557
2019-06-06;36,08;36,48;36,00;36,16;108.792;3.939.437
2019-06-05;36,28;36,28;36,02;36,08;59.058;2.132.470
2019-06-04;35,62;36,22;35,62;36,10;59.681;2.151.633
2019-06-03;35,44;35,76;35,30;35,76;94.906;3.373.370
2019-05-31;35,36;35,80;35,20;35,56;68.778;2.444.943
2019-05-30;35,24;35,92;35,08;35,62;36.432;1.298.831
2019-05-29;35,80;35,84;35,32;35,32;79.391;2.814.840
2019-05-28;36,02;36,04;35,76;35,84;57.362;2.059.323
2019-05-27;35,98;36,32;35,90;36,00;35.656;1.287.599
2019-05-24;35,78;36,14;35,78;35,94;61.817;2.225.730
2019-05-23;36,18;36,26;35,72;35,72;64.405;2.311.142
2019-05-22;36,30;36,46;36,14;36,30;64.472;2.340.960
2019-05-21;36,00;36,52;35,84;36,30;72.657;2.638.107
2019-05-20;36,66;36,80;36,16;36,32;77.277;2.814.465
2019-05-17;36,98;37,20;36,56;36,74;112.071;4.126.633
2019-05-16;35,98;37,16;35,92;37,10;185.874;6.836.835
2019-05-15;35,48;36,02;35,42;36,00;155.232;5.564.850
2019-05-14;34,74;35,54;34,66;35,38;131.859;4.648.364
2019-05-13;35,28;35,42;34,94;35,00;104.394;3.663.545
2019-05-10;34,46;35,60;34,38;35,36;178.488;6.294.967
2019-05-09;34,678;34,678;34,1208;34,2553;133.452;4.569.816
2019-05-08;34,5627;34,6588;34,2361;34,6203;122.908;4.244.112
2019-05-07;34,1785;34,5435;34,1016;34,3898;99.767;3.429.541
2019-05-06;34,2169;34,3129;33,6981;34,0824;73.875;2.511.743
2019-05-03;34,4666;34,7164;34,2361;34,678;67.304;2.326.192
2019-05-02;34,3898;34,4666;34,2169;34,409;89.388;3.071.074
2019-04-30;34,2937;34,409;34,0248;34,2169;85.053;2.909.335
2019-04-29;34,3129;34,3898;34,1016;34,3898;49.987;1.714.350
2019-04-26;34,3129;34,3129;33,9479;34,0632;48.803;1.663.051
2019-04-25;34,2169;34,2361;34,044;34,044;33.650;1.147.395
