Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;0,758;0,79;0,718;0,79;1.034;814
2019-08-13;0,91;0,91;0,745;0,75;8.463;6.362
2019-08-12;0,84;0,852;0,79;0,804;5.930;4.955
2019-08-09;0,84;0,84;0,84;0,84;265;223
2019-08-08;0,92;0,92;0,806;0,828;8.310;7.080
2019-08-07;0,914;0,914;0,826;0,826;9.135;7.771
2019-08-06;0,846;0,95;0,806;0,914;10.275;9.050
2019-08-05;0,986;0,986;0,862;0,898;7.890;7.057
2019-08-02;0,98;0,986;0,946;0,946;2.905;2.809
2019-08-01;0,932;0,932;0,912;0,912;3.450;3.209
2019-07-31;0,978;0,978;0,922;0,922;1.110;1.079
2019-07-30;0,932;0,98;0,912;0,98;1.483;1.380
2019-07-29;0,928;0,996;0,928;0,996;273;271
2019-07-26;1,02;1,02;0,892;0,892;4.326;4.070
2019-07-25;0,976;0,976;0,966;0,966;438;426
2019-07-24;0,958;0,958;0,958;0,958;10;10
2019-07-23;0,935;0,935;0,895;0,905;13.951;12.772
2019-07-22;0,912;1,025;0,912;0,984;3.439;3.232
2019-07-19;0,912;0,974;0,912;0,974;1.120;1.046
2019-07-18;0,932;0,932;0,932;0,932;100;93
2019-07-17;1,00;1,00;0,912;0,912;2.183;2.033
2019-07-16;1,00;1,00;1,00;1,00;350;350
2019-07-15;0,932;0,992;0,932;0,992;4.080;3.895
2019-07-12;1,03;1,03;0,958;0,958;700;707
2019-07-10;0,98;1,015;0,946;0,946;5.519;5.399
2019-07-09;0,958;1,015;0,932;1,015;2.908;2.805
2019-07-08;1,035;1,035;0,96;0,96;1.424;1.426
2019-07-05;1,00;1,07;1,00;1,07;48;51
2019-07-04;1,015;1,015;1,015;1,015;10;10
2019-07-03;0,97;0,97;0,97;0,97;143;139
2019-07-02;0,982;1,035;0,954;1,035;3.390;3.358
2019-07-01;0,954;0,96;0,924;0,942;1.565;1.496
2019-06-28;0,948;0,948;0,846;0,908;1.759;1.624
2019-06-27;0,916;0,938;0,902;0,918;16.969;15.557
2019-06-26;0,882;0,888;0,882;0,888;7.350;6.510
2019-06-25;0,852;0,886;0,812;0,886;9.042;7.700
2019-06-24;0,756;0,924;0,752;0,828;20.407;17.341
2019-06-21;0,866;0,866;0,782;0,792;8.960;7.223
2019-06-20;0,77;0,844;0,766;0,838;8.981;7.096
2019-06-19;0,898;0,898;0,776;0,776;33.055;26.666
2019-06-18;0,952;0,952;0,762;0,90;25.954;22.039
2019-06-17;1,085;1,085;0,854;0,974;16.590;16.612
2019-06-14;1,085;1,085;1,015;1,015;14.817;15.472
2019-06-13;1,12;1,12;1,09;1,09;1.673;1.853
2019-06-12;1,08;1,08;1,075;1,075;900;969
