Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-12;0,27;0,27;0,25;0,25;50;13
2019-08-05;0,246;0,246;0,246;0,246;100;25
2019-08-02;0,276;0,276;0,276;0,276;200;55
2019-07-25;0,246;0,246;0,246;0,246;70;17
2019-07-24;0,246;0,246;0,246;0,246;1.000;246
2019-07-22;0,246;0,246;0,246;0,246;30;7
2019-07-16;0,27;0,27;0,27;0,27;92;25
2019-07-15;0,246;0,246;0,246;0,246;2.500;615
2019-07-11;0,246;0,246;0,244;0,244;9.500;2.334
2019-07-10;0,246;0,246;0,246;0,246;30;7
2019-07-09;0,246;0,246;0,246;0,246;150;37
2019-07-08;0,246;0,246;0,246;0,246;2.500;615
2019-07-04;0,274;0,274;0,246;0,246;4.130;1.100
2019-07-01;0,246;0,246;0,246;0,246;125;31
2019-06-27;0,246;0,246;0,246;0,246;1.000;246
2019-06-14;0,26;0,274;0,26;0,274;1.002;275
2019-06-11;0,248;0,248;0,248;0,248;4.000;992
2019-06-07;0,246;0,246;0,246;0,246;300;74
2019-06-05;0,246;0,246;0,246;0,246;4.604;1.133
2019-06-04;0,246;0,246;0,246;0,246;6.000;1.476
2019-06-03;0,246;0,246;0,246;0,246;13.353;3.285
2019-05-30;0,246;0,246;0,246;0,246;100;25
2019-05-29;0,246;0,246;0,246;0,246;1.230;303
2019-05-28;0,274;0,30;0,268;0,268;29.294;8.170
2019-05-27;0,256;0,258;0,25;0,258;38.551;9.869
2019-05-21;0,228;0,228;0,228;0,228;40;9
2019-05-17;0,23;0,23;0,23;0,23;1.300;299
2019-05-14;0,23;0,23;0,23;0,23;100;23
2019-05-02;0,23;0,23;0,23;0,23;60;14
2019-04-30;0,23;0,23;0,23;0,23;2.300;529
2019-04-29;0,23;0,23;0,23;0,23;5;1
2019-04-26;0,23;0,23;0,23;0,23;100;23
2019-04-24;0,228;0,228;0,228;0,228;776;177
2019-04-23;0,228;0,228;0,228;0,228;10;2
2019-04-17;0,26;0,26;0,26;0,26;4.000;1.040
2019-04-16;0,228;0,228;0,228;0,228;500;114
2019-04-09;0,23;0,23;0,23;0,23;200;46
2019-04-08;0,274;0,274;0,272;0,272;8.501;2.329
2019-04-03;0,228;0,228;0,228;0,228;570;130
2019-04-02;0,23;0,23;0,23;0,23;2.000;460
2019-04-01;0,23;0,23;0,23;0,23;1.040;239
2019-03-21;0,23;0,23;0,23;0,23;80;18
2019-03-20;0,23;0,23;0,23;0,23;100;23
2019-03-14;0,24;0,24;0,24;0,24;200;48
2019-03-13;0,23;0,23;0,23;0,23;1.900;437
2019-03-12;0,23;0,23;0,23;0,23;40;9
2019-03-05;0,27;0,27;0,27;0,27;1.000;270
2019-02-27;0,276;0,276;0,228;0,228;2.502;571
2019-02-26;0,23;0,25;0,228;0,228;3.250;807
2019-02-25;0,274;0,274;0,274;0,274;1.100;301
2019-02-22;0,262;0,262;0,262;0,262;8.000;2.096
2019-02-21;0,29;0,29;0,29;0,29;1.000;290
2019-02-19;0,34;0,34;0,264;0,264;1.233;326
2019-02-18;0,30;0,30;0,30;0,30;3.822;1.147
2019-02-12;0,27;0,27;0,27;0,27;2.000;540
2019-02-07;0,264;0,264;0,264;0,264;300;79
2019-02-06;0,28;0,28;0,28;0,28;8.000;2.240
2019-02-05;0,23;0,23;0,23;0,23;1.300;299
2019-02-04;0,278;0,278;0,278;0,278;100;28
2019-01-21;0,242;0,242;0,242;0,242;3.250;787
2019-01-16;0,278;0,278;0,278;0,278;3.691;1.026
2019-01-15;0,28;0,30;0,268;0,268;27.864;7.853
2019-01-14;0,20;0,24;0,20;0,24;11.197;2.684
2019-01-11;0,19;0,20;0,19;0,20;117;23
2019-01-10;0,238;0,238;0,238;0,238;1.300;309
2019-01-07;0,22;0,22;0,20;0,20;1.833;403
2019-01-03;0,202;0,202;0,202;0,202;730;147
2018-12-18;0,212;0,212;0,202;0,202;150;31
2018-12-13;0,212;0,212;0,212;0,212;100;21
2018-12-10;0,21;0,21;0,21;0,21;10;2
2018-12-05;0,278;0,278;0,278;0,278;1.000;278
2018-12-03;0,278;0,278;0,278;0,278;1.000;278
2018-11-30;0,228;0,228;0,228;0,228;1.548;353
2018-11-29;0,228;0,228;0,228;0,228;100;23
2018-11-26;0,224;0,224;0,224;0,224;1.000;224
2018-11-23;0,25;0,25;0,25;0,25;1.000;250
2018-11-22;0,176;0,176;0,176;0,176;25;4
2018-11-21;0,278;0,278;0,246;0,246;3.518;899
2018-11-20;0,278;0,278;0,238;0,27;3.528;980
2018-11-19;0,23;0,23;0,23;0,23;1.000;230
2018-11-16;0,181;0,181;0,14;0,14;14.122;2.433
2018-11-14;0,222;0,222;0,22;0,22;200;44
2018-11-13;0,278;0,278;0,222;0,278;1.900;506
2018-11-12;0,278;0,278;0,278;0,278;1.000;278
2018-11-09;0,278;0,278;0,278;0,278;1.000;278
2018-11-08;0,26;0,28;0,21;0,21;10.886;2.858
2018-11-07;0,342;0,35;0,20;0,34;13.050;4.106
2018-11-06;0,40;0,40;0,40;0,40;2.498;999
2018-11-05;0,48;0,48;0,43;0,43;4.400;2.002
