Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;10,54;10,56;10,10;10,40;5.278;54.864
2019-08-13;10,44;10,48;10,12;10,44;11.072;114.194
2019-08-12;10,64;10,68;10,32;10,44;4.608;48.686
2019-08-09;10,48;10,64;10,48;10,64;748;7.909
2019-08-08;10,66;10,66;10,30;10,48;3.983;42.020
2019-08-07;10,84;10,84;10,56;10,72;1.263;13.568
2019-08-06;10,80;10,86;10,64;10,80;6.350;68.570
2019-08-05;10,72;10,90;10,70;10,80;3.089;33.247
2019-08-02;11,04;11,04;10,98;11,00;6.582;72.376
2019-08-01;10,74;11,02;10,74;11,02;8.877;97.434
2019-07-31;10,34;11,00;10,34;10,70;10.455;111.938
2019-07-30;10,50;10,66;10,12;10,36;9.263;95.888
2019-07-29;10,90;10,90;10,36;10,56;4.619;48.891
2019-07-26;10,82;10,90;10,80;10,86;3.902;42.277
2019-07-25;10,92;11,18;10,90;11,00;1.528;16.789
2019-07-24;11,16;11,20;10,90;11,06;3.965;43.874
2019-07-23;10,76;11,16;10,54;11,16;10.489;113.166
2019-07-22;10,62;10,90;10,56;10,72;7.277;78.399
2019-07-19;10,80;10,98;10,72;10,76;7.083;77.113
2019-07-18;10,46;10,70;10,46;10,70;3.706;39.447
2019-07-17;11,08;11,08;10,34;10,66;7.581;80.297
2019-07-16;11,08;11,08;11,08;11,08;0;0
2019-07-15;11,20;11,20;11,02;11,12;1.922;21.507
2019-07-12;11,14;11,30;11,02;11,18;3.198;35.692
2019-07-11;11,18;11,50;10,98;11,20;10.198;115.043
2019-07-10;11,00;11,30;10,90;11,04;16.244;181.888
2019-07-09;10,78;11,20;10,78;11,02;11.710;129.385
2019-07-08;10,94;11,20;10,82;10,90;14.169;156.354
2019-07-05;10,40;11,02;10,40;10,70;13.403;144.478
2019-07-04;10,48;10,58;10,40;10,56;2.459;25.745
2019-07-03;10,00;10,66;10,00;10,56;21.920;225.945
2019-07-02;10,02;10,10;10,02;10,10;1.892;19.027
2019-07-01;10,30;10,30;10,06;10,28;3.901;39.961
2019-06-28;10,24;10,30;9,94;10,30;12.014;122.064
2019-06-27;10,06;10,30;10,02;10,24;18.513;188.297
2019-06-26;10,28;10,30;10,04;10,20;4.633;47.008
2019-06-25;9,81;10,30;9,81;10,30;8.800;88.637
2019-06-24;10,10;10,10;9,94;9,94;3.393;33.962
2019-06-21;10,10;10,28;9,99;10,00;6.350;63.993
2019-06-20;10,10;10,10;9,96;10,00;12.565;125.847
2019-06-19;10,30;10,30;10,30;10,30;1.242;12.793
2019-06-18;10,24;10,26;10,14;10,26;4.190;42.915
2019-06-17;10,20;10,24;10,04;10,24;1.424;14.478
2019-06-14;10,20;10,30;10,20;10,30;1.387;14.272
2019-06-13;10,30;10,30;10,20;10,30;838;8.628
2019-06-12;9,93;10,20;9,86;10,20;3.788;38.176
2019-06-11;9,82;10,04;9,82;10,04;12.498;123.812
2019-06-07;9,84;9,89;9,73;9,84;5.869;57.420
2019-06-06;9,86;9,86;9,57;9,65;4.791;46.451
2019-06-05;9,65;9,79;9,62;9,66;13.439;130.943
2019-06-04;9,79;9,79;9,65;9,66;4.450;42.995
2019-06-03;10,26;10,26;9,59;9,86;18.512;181.419
2019-05-31;10,08;10,14;9,83;10,14;5.233;52.097
2019-05-30;10,18;10,20;10,00;10,20;4.271;43.288
2019-05-29;9,84;10,04;9,70;9,99;8.516;84.630
2019-05-28;9,65;9,99;9,35;9,94;7.593;72.718
2019-05-27;9,60;9,82;9,35;9,56;4.256;40.767
2019-05-24;9,73;9,95;9,45;9,64;10.293;99.650
2019-05-23;9,60;9,88;9,46;9,88;5.383;51.567
2019-05-22;9,68;9,69;9,52;9,59;7.410;70.936
2019-05-21;9,39;9,69;9,31;9,59;18.378;174.335
2019-05-20;10,28;10,28;9,33;9,40;20.715;198.481
2019-05-17;10,46;10,48;9,91;10,30;12.655;128.414
2019-05-16;11,38;11,38;10,20;10,62;21.917;234.128
2019-05-15;11,40;11,50;10,92;11,50;12.110;136.957
2019-05-14;11,56;11,56;11,38;11,50;6.409;73.736
2019-05-13;11,36;11,50;11,12;11,50;11.199;127.822
2019-05-10;11,66;11,66;11,40;11,54;1.105;12.612
2019-05-09;11,50;11,80;11,40;11,44;2.801;32.506
2019-05-08;11,64;11,64;11,30;11,54;6.149;71.056
2019-05-07;11,74;11,78;11,60;11,62;2.218;25.908
2019-05-06;12,20;12,20;11,62;11,64;850;10.058
2019-05-03;12,10;12,10;11,64;12,00;4.678;55.757
2019-05-02;12,20;12,20;11,74;11,94;5.953;70.965
2019-04-30;12,00;12,14;11,98;12,04;4.002;48.158
2019-04-29;12,00;12,06;11,90;12,00;7.364;88.095
2019-04-26;11,68;12,00;11,22;11,96;15.009;175.554
2019-04-25;12,80;12,96;11,92;11,92;7.403;91.785
2019-04-24;12,74;13,06;12,52;12,64;4.319;54.900
2019-04-23;12,78;13,10;12,52;12,86;22.205;280.522
2019-04-18;12,30;12,96;12,30;12,62;12.187;154.265
2019-04-17;12,127;12,1862;11,9298;11,9496;6.454;77.525
2019-04-16;11,9101;12,1468;11,9101;12,0284;6.373;77.061
2019-04-15;12,1862;12,1862;11,9101;12,0087;7.094;85.285
2019-04-12;12,127;12,2256;11,7524;12,0284;9.656;115.986
2019-04-11;12,0087;12,1862;11,8313;12,127;3.764;45.409
2019-04-10;11,8707;12,0284;11,8115;12,0284;5.076;60.662
2019-04-09;12,3439;12,4425;11,7721;11,989;11.075;135.030
2019-04-08;12,62;12,62;12,0087;12,127;12.046;147.289
2019-04-05;12,1862;12,5608;12,1862;12,482;8.807;109.277
2019-04-04;12,3242;12,482;11,7721;12,2256;27.632;338.651
2019-04-03;11,4763;12,2256;11,4763;12,2059;14.091;166.486
2019-04-02;11,5158;11,5749;11,0425;11,3777;25.513;287.378
2019-04-01;11,7327;11,8313;11,2791;11,6932;20.827;242.861
2019-03-29;11,358;11,7327;11,358;11,7327;6.024;70.212
2019-03-28;11,6932;11,6932;11,1411;11,5946;10.187;117.186
2019-03-27;11,5552;11,8313;11,4369;11,7918;6.263;73.188
2019-03-26;12,4228;12,5214;11,4172;11,6538;16.879;202.614
2019-03-25;12,5214;12,5214;12,2256;12,2651;9.263;114.230
2019-03-22;12,5214;12,5411;12,3637;12,5214;18.090;225.565
2019-03-21;12,3045;12,7186;12,127;12,3637;10.915;135.043
2019-03-20;12,3637;12,6989;11,8313;12,3242;19.346;237.715
2019-03-19;11,7721;13,1327;11,7327;12,5214;38.776;485.426
2019-03-18;10,2932;11,9298;10,2932;11,8313;32.774;367.524
2019-03-15;9,76078;10,3129;9,76078;10,1354;30.683;309.448
2019-03-14;9,95797;9,95797;9,63261;9,71148;27.083;267.815
2019-03-13;9,85938;9,91853;9,59317;9,71148;15.815;155.547
2019-03-12;9,61289;10,0566;9,53402;9,76078;20.336;197.865
2019-03-11;9,29739;9,63261;9,29739;9,52416;27.247;258.605
2019-03-08;9,29739;9,30725;9,12978;9,23823;8.475;78.349
2019-03-07;9,21852;9,36641;9,13964;9,26781;3.642;33.732
2019-03-06;9,28753;9,75092;9,17908;9,38613;6.133;57.580
2019-03-05;9,1002;9,33683;8,85372;9,12978;20.342;183.597
2019-03-04;8,8833;9,32697;8,87344;9,15936;16.404;149.216
2019-03-01;8,5678;9,04105;8,5678;9,02133;56.745;505.536
2019-02-28;8,26216;8,65653;8,26216;8,38047;24.649;207.246
2019-02-27;8,28188;8,28188;8,08469;8,203;11.216;91.645
2019-02-26;8,28188;8,38047;8,01567;8,13398;12.034;98.540
2019-02-25;8,28188;8,45934;8,14384;8,26216;13.325;111.026
2019-02-22;8,29173;8,33117;7,94666;8,32131;18.259;148.810
2019-02-21;8,45934;8,45934;8,1537;8,33117;39.868;331.185
2019-02-20;8,58752;8,58752;8,47906;8,57766;7.754;66.377
2019-02-19;8,67625;8,73541;8,47906;8,57766;8.550;73.507
2019-02-18;8,82414;8,96217;8,48892;8,80442;42.835;372.333
2019-02-15;8,96217;9,11006;8,72555;8,96217;13.906;123.339
2019-02-14;8,95231;9,17908;8,95231;9,1002;11.331;102.651
2019-02-13;8,95231;9,23823;8,95231;8,97203;10.813;98.409
2019-02-12;8,90302;9,09034;8,7847;9,02133;2.234;20.015
2019-02-11;8,72555;8,77484;8,44948;8,77484;16.998;146.555
2019-02-08;8,77484;8,79456;8,57766;8,66639;1.725;14.922
2019-02-07;8,97203;8,97203;8,53822;8,60723;7.088;62.194
2019-02-06;8,86358;9,07063;8,7847;8,87344;4.153;36.997
2019-02-05;8,99175;8,99175;8,77484;8,87344;405;3.577
2019-02-04;9,02133;9,24809;8,77484;8,87344;17.023;151.726
2019-02-01;9,4157;9,4157;9,01147;9,07063;3.986;37.041
2019-01-31;8,87344;9,56359;8,87344;9,40584;8.413;78.721
2019-01-30;8,94245;9,18894;8,82414;8,96217;4.114;36.704
2019-01-29;9,30725;9,30725;8,92273;9,06077;2.707;24.838
2019-01-28;9,18894;9,50444;9,11992;9,16922;9.902;91.503
2019-01-25;9,06077;9,45514;8,94245;9,02133;17.191;156.968
2019-01-24;8,89316;9,06077;8,77484;8,92273;16.609;148.088
2019-01-23;9,06077;9,11006;8,7847;8,8833;8.149;72.941
2019-01-22;9,12978;9,12978;8,87344;8,87344;4.422;39.601
2019-01-21;8,95231;9,57345;8,8833;8,94245;23.366;214.329
2019-01-18;8,69597;9,18894;8,69597;8,92273;25.165;224.091
2019-01-17;8,7847;8,7847;8,59738;8,62695;3.506;30.271
2019-01-16;8,77484;8,77484;8,59738;8,67625;4.832;41.867
2019-01-15;8,63681;8,77484;8,53822;8,66639;6.201;53.736
2019-01-14;8,79456;8,91288;8,57766;8,76498;9.136;80.032
2019-01-11;8,87344;9,12978;8,81428;8,87344;4.429;39.706
2019-01-10;9,1002;9,11992;8,66639;8,79456;8.431;75.706
2019-01-09;9,04105;9,36641;9,02133;9,13964;13.591;124.010
2019-01-08;8,99175;9,21852;8,81428;8,93259;15.735;141.815
2019-01-07;9,12978;9,17908;8,59738;8,87344;13.823;123.151
2019-01-04;8,60723;9,1988;8,5678;9,02133;58.366;512.213
2019-01-03;7,92694;8,75513;7,92694;8,54808;16.511;138.729
2019-01-02;7,8875;7,8875;7,79877;7,82834;5.956;46.924
2018-12-28;7,60158;7,8875;7,60158;7,8875;39.653;308.489
2018-12-27;7,8875;7,8875;7,59172;7,79877;13.227;101.903
2018-12-21;7,77905;7,96638;7,73961;7,84806;17.269;135.143
2018-12-20;8,03539;8,03539;7,67059;7,69031;17.483;136.487
2018-12-19;8,08469;8,08469;7,87764;7,9368;20.484;163.242
2018-12-18;8,13398;8,1537;7,72975;7,95652;23.375;187.699
2018-12-17;8,30159;8,33117;8,07483;8,21286;11.872;97.478
2018-12-14;8,7847;8,7847;8,32131;8,42977;27.634;241.329
2018-12-13;8,7847;8,87344;8,77484;8,82414;23.058;202.979
