Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;0,004;0,004;0,004;0,004;0;0
2019-08-13;0,004;0,004;0,004;0,004;0;0
2019-08-12;0,003;0,003;0,003;0,003;1.000.000;3.000
2019-08-09;0,004;0,004;0,004;0,004;100.000;400
2019-08-08;0,0045;0,0045;0,0045;0,0045;0;0
2019-08-07;0,004;0,004;0,004;0,004;0;0
2019-08-06;0,004;0,004;0,004;0,004;0;0
2019-08-05;0,0045;0,0045;0,0045;0,0045;0;0
2019-08-02;0,004;0,004;0,004;0,004;58.000;232
2019-08-01;0,004;0,004;0,004;0,004;0;0
2019-07-31;0,004;0,004;0,004;0,004;64.000;256
2019-07-30;0,004;0,004;0,004;0,004;0;0
2019-07-29;0,004;0,004;0,004;0,004;470.000;1.880
2019-07-26;0,005;0,005;0,005;0,005;0;0
2019-07-25;0,005;0,005;0,005;0,005;0;0
2019-07-24;0,005;0,005;0,005;0,005;0;0
2019-07-23;0,005;0,005;0,005;0,005;0;0
2019-07-22;0,005;0,005;0,005;0,005;0;0
2019-07-19;0,005;0,005;0,005;0,005;;
2019-07-18;0,005;0,005;0,005;0,005;0;0
2019-07-17;0,005;0,005;0,005;0,005;0;0
2019-07-16;0,005;0,005;0,005;0,005;0;0
2019-07-15;0,005;0,005;0,005;0,005;0;0
2019-07-12;0,005;0,005;0,005;0,005;0;0
2019-07-11;0,005;0,005;0,005;0,005;0;0
2019-07-10;0,005;0,005;0,005;0,005;0;0
2019-07-09;0,005;0,005;0,005;0,005;0;0
2019-07-08;0,005;0,005;0,005;0,005;160.000;800
2019-07-05;0,005;0,005;0,005;0,005;0;0
2019-07-04;0,005;0,005;0,005;0,005;0;0
2019-07-03;0,005;0,005;0,005;0,005;0;0
2019-07-02;0,005;0,005;0,005;0,005;0;0
2019-07-01;0,005;0,005;0,005;0,005;0;0
2019-06-28;0,005;0,005;0,005;0,005;0;0
2019-06-27;0,005;0,005;0,005;0,005;0;0
2019-06-26;0,005;0,005;0,005;0,005;0;0
2019-06-25;0,005;0,005;0,005;0,005;0;0
2019-06-24;0,005;0,005;0,005;0,005;100.000;500
2019-06-21;0,005;0,005;0,005;0,005;0;0
2019-06-20;0,005;0,005;0,005;0,005;200.000;1.000
2019-06-19;0,005;0,005;0,005;0,005;100.000;500
2019-06-18;0,005;0,005;0,005;0,005;0;0
2019-06-17;0,005;0,005;0,005;0,005;0;0
2019-06-14;0,005;0,005;0,005;0,005;0;0
2019-06-13;0,004;0,004;0,004;0,004;530.000;2.120
2019-06-12;0,004;0,004;0,004;0,004;0;0
2019-06-11;0,004;0,004;0,004;0,004;;
2019-06-10;0,004;0,004;0,004;0,004;0;0
