Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2006-01-11;1,94;1,94;1,92;1,935;0;0
2006-01-10;1,94;1,94;1,92;1,935;0;0
2006-01-09;1,94;1,94;1,92;1,935;0;0
2006-01-06;1,94;1,94;1,92;1,935;0;0
2006-01-05;1,94;1,94;1,92;1,935;0;0
2006-01-04;1,94;1,94;1,92;1,935;0;0
2006-01-03;1,94;1,94;1,92;1,935;0;0
2006-01-02;1,94;1,94;1,92;1,935;0;0
2005-12-30;1,94;1,94;1,92;1,935;0;0
2005-12-29;1,94;1,94;1,92;1,935;0;0
2005-12-28;1,94;1,94;1,92;1,935;0;0
2005-12-27;1,94;1,94;1,92;1,935;0;0
2005-12-26;1,94;1,94;1,92;1,935;0;0
2005-12-23;1,94;1,94;1,92;1,935;0;0
2005-12-22;1,94;1,94;1,92;1,935;0;0
2005-12-21;1,94;1,94;1,92;1,935;0;0
2005-12-20;1,94;1,94;1,92;1,935;0;0
2005-12-19;1,94;1,94;1,92;1,935;0;0
2005-12-16;1,94;1,94;1,92;1,935;0;0
2005-12-15;1,94;1,94;1,92;1,935;0;0
2005-12-14;1,94;1,94;1,92;1,935;0;0
2005-12-13;1,94;1,94;1,92;1,935;0;0
2005-12-12;1,94;1,94;1,92;1,935;0;0
2005-12-09;1,94;1,94;1,92;1,935;0;0
2005-12-08;1,94;1,94;1,92;1,935;0;0
2005-12-07;1,94;1,94;1,92;1,935;0;0
2005-12-06;1,94;1,94;1,92;1,935;0;0
2005-12-05;1,94;1,94;1,92;1,935;0;0
2005-12-02;1,94;1,94;1,92;1,935;0;0
2005-12-01;1,94;1,94;1,92;1,935;0;0
2005-11-30;1,94;1,94;1,92;1,935;0;0
2005-11-29;1,94;1,94;1,92;1,935;0;0
2005-11-28;1,94;1,94;1,92;1,935;0;0
2005-11-25;1,94;1,94;1,92;1,935;0;0
2005-11-24;1,94;1,94;1,92;1,935;0;0
2005-11-23;1,94;1,94;1,92;1,935;0;0
2005-11-22;1,94;1,94;1,92;1,935;0;0
2005-11-21;1,94;1,94;1,92;1,935;0;0
2005-11-18;1,94;1,94;1,92;1,935;0;0
2005-11-17;1,94;1,94;1,92;1,935;0;0
2005-11-16;1,94;1,94;1,92;1,935;0;0
2005-11-15;1,94;1,94;1,92;1,935;0;0
2005-11-14;1,94;1,94;1,92;1,935;0;0
2005-11-11;1,94;1,94;1,92;1,935;0;0
2005-11-10;1,94;1,94;1,92;1,935;0;0
2005-11-09;1,94;1,94;1,92;1,935;0;0
2005-11-08;1,94;1,94;1,92;1,935;0;0
2005-11-07;1,94;1,94;1,92;1,935;0;0
2005-11-04;1,94;1,94;1,92;1,935;0;0
2005-11-03;1,94;1,94;1,92;1,935;0;0
2005-11-02;1,94;1,94;1,92;1,935;0;0
2005-11-01;1,94;1,94;1,92;1,935;0;0
2005-10-31;1,94;1,94;1,92;1,935;0;0
2005-10-28;1,94;1,94;1,92;1,935;0;0
2005-10-27;1,94;1,94;1,92;1,935;0;0
2005-10-26;1,94;1,94;1,92;1,935;0;0
2005-10-25;1,94;1,94;1,92;1,935;0;0
2005-10-24;1,94;1,94;1,92;1,935;0;0
2005-10-21;1,94;1,94;1,92;1,935;0;0
2005-10-20;1,94;1,94;1,92;1,935;0;0
2005-10-19;1,94;1,94;1,92;1,935;0;0
2005-10-18;1,94;1,94;1,92;1,935;0;0
2005-10-17;1,94;1,94;1,92;1,935;0;0
2005-10-14;1,95;1,95;1,95;1,95;0;0
2005-10-13;1,95;1,95;1,95;1,95;0;0
2005-10-12;1,95;1,95;1,95;1,95;0;0
2005-10-11;1,95;1,95;1,95;1,95;0;0
2005-10-10;1,95;1,98;1,95;1,95;0;0
2005-10-09;1,95;1,95;1,95;1,95;0;0
2005-10-08;1,95;1,95;1,95;1,95;0;0
2005-10-07;1,935;2,00;1,935;1,95;0;0
2005-10-06;1,94;1,94;1,92;1,91;0;0
2005-10-05;1,945;2,00;1,005;1,91;820;1.566
2005-10-04;1,965;2,01;1,005;1,95;0;0
2005-10-03;1,935;2,00;1,88;1,95;0;0
2005-10-02;1,935;1,935;1,935;1,935;0;0
2005-10-01;1,935;1,935;1,935;1,935;0;0
2005-09-30;1,935;2,00;1,89;1,95;5.000;9.750
2005-09-29;1,955;1,98;1,805;1,935;0;0
2005-09-28;1,955;2,00;1,835;1,955;0;0
2005-09-27;1,955;2,00;1,95;1,955;0;0
2005-09-26;1,965;2,01;1,94;1,955;0;0
2005-09-25;1,965;2,00;1,955;1,965;0;0
2005-09-24;1,965;1,965;1,965;1,965;0;0
2005-09-23;1,975;2,02;1,955;1,965;0;0
2005-09-22;1,945;2,02;1,945;1,975;0;0
2005-09-21;1,98;2,00;1,935;1,945;0;0
2005-09-20;1,965;2,00;1,945;1,945;0;0
2005-09-19;1,955;2,00;1,935;1,965;0;0
2005-09-18;1,97;2,00;1,945;1,945;0;0
2005-09-17;1,97;1,97;1,97;1,97;0;0
2005-09-16;1,94;2,03;1,94;1,97;0;0
2005-09-15;1,96;2,01;1,94;1,94;0;0
