Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;3,42;3,42;3,25;3,2765;39.942;134.069
2019-08-13;3,40;3,40;3,24;3,38;19.458;66.125
2019-08-12;3,443;3,443;3,22;3,40;43.314;146.941
2019-08-09;3,695;3,695;3,32;3,40;18.596;63.712
2019-08-08;3,50;3,60;3,38;3,577;44.388;155.621
2019-08-07;3,4745;3,65;3,22;3,40;23.641;80.859
2019-08-06;3,75;3,75;3,40;3,40;20.795;72.894
2019-08-05;3,7315;3,75;3,338;3,55;52.062;187.369
2019-08-02;4,00;4,10;3,90;3,90;41.211;161.260
2019-08-01;4,149;4,20;4,0505;4,20;626.939;2.629.595
2019-07-31;3,98;4,1505;3,98;4,0595;193.124;787.379
2019-07-30;3,95;4,25;3,95;4,00;333.506;1.340.924
2019-07-29;3,90;3,99;3,90;3,95;106.400;420.868
2019-07-26;3,939;3,94;3,80;3,90;139.832;543.140
2019-07-25;3,8985;3,94;3,80;3,90;171.996;667.873
2019-07-24;3,899;3,94;3,811;3,85;151.904;587.668
2019-07-23;3,88;3,94;3,85;3,86;135.454;525.369
2019-07-22;3,99;4,00;3,81;3,85;129.732;508.207
2019-07-19;3,90;4,0005;3,85;3,99;91.805;360.678
2019-07-18;4,0495;4,05;3,90;3,90;9.250;36.675
2019-07-17;4,10;4,20;3,9005;4,10;27.987;113.356
2019-07-16;4,10;4,24;4,08;4,08;15.723;65.042
2019-07-15;4,24;4,25;4,10;4,10;43.377;179.089
2019-07-12;4,25;4,25;4,139;4,14;36.064;151.136
2019-07-11;4,16;4,28;4,15;4,15;34.009;141.914
2019-07-10;4,15;4,375;4,15;4,15;21.856;92.411
2019-07-09;4,28;4,28;4,19;4,19;145.110;608.021
2019-07-08;4,3185;4,45;4,28;4,30;31.182;134.410
2019-07-05;4,34;4,35;4,311;4,3185;52.578;227.111
2019-07-04;4,30;4,33;4,161;4,1715;42.230;177.523
2019-07-03;4,2995;4,3495;4,1205;4,2485;43.072;182.441
2019-07-02;4,47;4,47;4,05;4,0895;245.210;1.029.516





