Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;33,90;33,95;30,45;31,45;22.302;715.489
2019-08-13;34,60;34,60;33,40;33,60;12.414;418.964
2019-08-12;35,45;35,50;34,15;34,15;10.837;375.418
2019-08-09;36,20;36,60;35,25;35,50;7.028;251.617
2019-08-08;36,25;36,80;35,80;35,80;6.880;248.648
2019-08-07;35,95;36,05;34,95;36,05;10.403;370.791
2019-08-06;35,15;35,65;35,05;35,55;11.811;418.516
2019-08-05;35,95;36,00;35,40;35,85;7.374;262.865
2019-08-02;36,60;36,70;35,60;36,20;15.798;569.302
2019-08-01;35,70;36,35;35,40;36,30;4.919;177.673
2019-07-31;35,35;35,80;35,35;35,50;5.047;179.566
2019-07-30;36,60;36,60;35,25;35,35;6.697;238.973
2019-07-29;36,00;36,55;35,90;36,40;7.227;262.194
2019-07-26;35,60;36,15;35,20;36,15;5.025;179.730
2019-07-25;36,10;36,20;35,60;35,90;5.030;180.931
2019-07-24;35,10;36,55;35,00;35,75;19.981;716.055
2019-07-23;34,50;35,00;34,50;35,00;11.457;398.007
2019-07-22;34,25;34,60;34,10;34,30;5.050;173.467
2019-07-19;34,00;34,65;33,30;34,50;13.106;444.998
2019-07-18;34,40;34,40;33,30;34,10;14.257;479.361
2019-07-17;33,85;34,65;33,60;34,40;17.427;593.837
2019-07-16;33,80;34,45;33,35;34,05;11.557;393.627
2019-07-15;33,80;34,65;33,55;33,75;8.372;284.070
2019-07-12;34,10;34,15;33,55;33,90;14.599;493.567
2019-07-11;35,00;35,00;34,05;34,05;13.492;463.200
2019-07-10;34,75;34,75;34,25;34,45;7.888;271.556
2019-07-09;35,90;36,90;34,10;34,60;31.718;1.104.072
2019-07-08;36,00;36,00;35,10;35,65;8.941;316.532
2019-07-05;36,15;36,85;35,75;35,90;17.063;617.588
2019-07-04;35,85;36,05;35,55;36,05;6.224;223.449
2019-07-03;36,00;36,00;35,00;35,85;25.126;895.267
2019-07-02;35,50;36,35;35,35;35,80;25.562;917.873
2019-07-01;34,90;35,70;34,55;35,50;21.938;773.936
2019-06-28;34,50;34,80;33,55;34,40;24.038;824.954
2019-06-27;34,40;34,80;34,00;34,00;11.818;405.106
2019-06-26;34,90;34,90;34,05;34,20;12.001;413.991
2019-06-25;35,15;35,20;34,85;35,20;7.346;257.528
2019-06-24;35,25;35,45;35,00;35,35;5.066;178.350
2019-06-21;35,05;35,45;35,05;35,40;8.814;311.745
2019-06-20;35,50;35,50;35,00;35,15;3.600;126.501
2019-06-19;35,50;35,50;35,00;35,10;4.633;163.215
2019-06-18;35,00;35,50;35,00;35,50;5.261;185.433
2019-06-17;34,40;35,10;34,20;34,95;12.479;434.168
2019-06-14;34,55;34,80;34,10;34,40;7.424;256.125
2019-06-13;35,40;35,40;34,00;34,50;24.436;846.083
2019-06-12;35,40;35,55;35,15;35,25;7.426;262.815
2019-06-11;35,05;35,45;34,95;35,00;10.715;375.965
2019-06-07;35,20;35,40;34,65;35,05;7.557;264.166
2019-06-06;35,40;35,60;34,75;35,05;7.675;269.128
2019-06-05;35,00;35,75;34,60;35,75;11.697;412.246
2019-06-04;35,00;35,20;34,75;35,20;4.831;169.243
2019-06-03;34,60;35,00;34,60;34,95;8.556;298.556
2019-05-31;34,95;35,05;34,60;34,85;4.808;167.343
2019-05-30;35,00;35,30;35,00;35,10;1.613;56.663
2019-05-29;36,40;36,60;34,75;35,10;19.642;695.531
2019-05-28;35,50;36,60;35,50;36,60;31.487;1.144.015
2019-05-27;35,15;35,45;34,95;35,20;10.744;377.524
2019-05-24;35,50;35,70;34,90;35,05;10.909;385.373
2019-05-23;35,70;35,70;34,95;35,10;19.204;675.945
2019-05-22;35,50;35,90;35,45;35,45;17.228;613.525
2019-05-21;35,25;35,55;35,00;35,45;21.581;762.209
2019-05-20;35,25;35,25;34,75;35,00;19.774;691.400
2019-05-17;35,15;35,35;34,90;35,00;9.981;349.974
2019-05-16;35,30;35,30;34,90;35,00;16.168;566.018
2019-05-15;35,20;35,50;34,70;35,00;26.964;944.481
2019-05-14;35,55;35,55;35,10;35,20;16.859;595.612
2019-05-13;35,20;35,55;34,90;35,20;16.429;579.994
2019-05-10;35,30;35,40;34,95;34,95;7.774;272.750
2019-05-09;35,60;35,60;35,00;35,35;11.120;392.121
2019-05-08;35,15;35,45;34,70;35,30;10.927;383.173
2019-05-07;35,80;35,80;34,75;35,15;19.639;688.323
2019-05-06;35,55;35,75;35,10;35,60;7.410;262.240
2019-05-03;35,25;35,80;35,25;35,80;17.773;632.912
2019-05-02;34,75;35,15;34,20;35,05;41.924;1.452.683
2019-04-30;34,00;35,20;33,85;34,60;16.213;559.849
2019-04-29;34,45;34,65;33,80;33,90;19.511;668.825
2019-04-26;33,55;34,40;33,45;34,25;19.604;665.381
2019-04-25;33,35;34,10;33,35;33,40;22.834;767.484
2019-04-24;34,95;35,00;33,25;33,30;52.184;1.777.563
2019-04-23;35,00;35,25;34,80;34,90;16.221;567.735
2019-04-18;35,20;35,40;34,75;34,95;16.583;581.722
2019-04-17;35,45;35,50;35,20;35,35;19.272;680.674
2019-04-16;35,50;35,75;35,20;35,30;37.727;1.336.548
2019-04-15;35,85;35,90;35,25;35,25;57.028;2.025.809
2019-04-12;35,55;35,95;35,40;35,70;59.352;2.120.275
2019-04-11;35,20;35,85;35,20;35,40;57.956;2.061.872
2019-04-10;36,50;36,75;35,10;35,25;261.776;9.328.852
2019-04-09;39,50;40,00;39,20;39,40;3.429;135.976
2019-04-08;39,90;39,90;38,35;39,15;13.409;522.973
2019-04-05;40,35;40,35;39,25;39,65;7.294;289.277
2019-04-04;40,10;41,20;39,75;40,35;20.413;825.594
2019-04-03;39,70;40,75;38,10;40,10;37.388;1.491.387
2019-04-02;37,25;38,05;36,85;37,20;18.297;680.301
2019-04-01;36,80;37,70;36,40;37,40;7.789;287.269
2019-03-29;36,60;37,10;36,60;36,70;2.953;108.663
2019-03-28;36,90;37,00;36,70;36,90;1.964;72.358
2019-03-27;37,30;37,40;36,50;36,80;3.709;137.810
2019-03-26;37,80;37,80;37,30;37,30;2.369;88.777
2019-03-25;38,70;38,90;37,00;37,80;6.802;259.202
2019-03-22;38,40;39,50;38,40;38,50;7.959;309.100
2019-03-21;39,00;39,90;38,30;38,70;11.084;430.988
2019-03-20;39,90;39,90;38,30;38,40;13.784;537.828
2019-03-19;39,70;40,60;39,70;39,80;11.955;478.023
2019-03-18;39,10;39,60;38,60;39,40;11.812;462.126
2019-03-15;39,70;39,70;38,10;39,20;38.604;1.510.018
2019-03-14;36,60;37,50;36,50;37,00;7.131;264.111
2019-03-13;37,80;37,80;36,20;36,50;15.612;577.965
