Datum;Erster;Hoch;Tief;Schlusskurs;Vol. (nom.);Volumen
2019-08-14;101,25;101,25;101,25;101,25;0;0
2019-08-13;101,25;101,25;101,25;101,25;0;0
2019-08-12;101,25;101,25;101,25;101,25;0;0
2019-08-09;101,25;101,25;101,25;101,25;0;0
2019-08-08;101,25;101,25;101,25;101,25;0;0
2019-08-07;101,25;101,25;101,25;101,25;0;0
2019-08-06;101,25;101,25;101,25;101,25;0;0
2019-08-05;101,25;101,25;101,25;101,25;0;0
2019-08-02;101,25;101,25;101,25;101,25;0;0
2019-08-01;101,25;101,25;101,25;101,25;0;0
2019-07-31;101,25;101,25;100,80;100,80;0;0
2019-07-30;101,25;101,25;101,25;101,25;0;0
2019-07-29;101,25;101,25;101,25;101,25;0;0
2019-07-26;101,25;101,25;101,25;101,25;0;0
2019-07-25;101,25;101,25;101,25;101,25;0;0
2019-07-24;101,25;101,25;101,25;101,25;0;0
2019-07-23;101,25;101,25;101,25;101,25;0;0
2019-07-22;101,25;101,25;101,25;101,25;0;0
2019-07-19;101,25;101,25;101,25;101,25;0;0
2019-07-18;101,25;101,25;101,25;101,25;0;0
2019-07-17;101,25;101,25;101,25;101,25;0;0
2019-07-16;101,25;101,25;101,25;101,25;0;0
2019-07-15;101,25;101,25;101,25;101,25;0;0
2019-07-12;101,25;101,25;101,25;101,25;0;0
2019-07-11;101,25;101,25;101,25;101,25;0;0
2019-07-10;101,25;101,25;101,25;101,25;0;0
2019-07-09;101,25;101,25;101,25;101,25;0;0
2019-07-08;101,25;101,25;101,25;101,25;0;0
2019-07-05;101,25;101,25;101,25;101,25;0;0
2019-07-04;101,25;101,25;101,25;101,25;0;0
2019-07-03;101,25;101,25;101,25;101,25;0;0
2019-07-02;101,25;101,25;101,25;101,25;0;0
2019-07-01;101,25;101,25;101,25;101,25;0;0
2019-06-28;101,25;101,25;101,25;101,25;0;0
2019-06-27;101,25;101,25;101,25;101,25;0;0
2019-06-26;101,25;101,25;101,25;101,25;0;0
2019-06-25;101,25;101,25;101,25;101,25;0;0
2019-06-24;100,75;103,00;100,75;103,00;100.000;103.000
2019-06-21;100,75;100,75;100,75;100,75;0;0
2019-06-20;100,75;100,75;100,75;100,75;0;0
2019-06-19;100,75;100,75;100,75;100,75;0;0
2019-06-18;100,75;100,75;100,75;100,75;0;0
2019-06-17;100,75;103,25;100,75;103,25;100.000;103.250
2019-06-14;100,75;103,25;100,75;103,25;100.000;103.250
2019-06-13;100,75;100,75;100,75;100,75;0;0
2019-06-12;100,75;100,75;100,75;100,75;0;0
2019-06-11;100,75;100,75;100,75;100,75;0;0
2019-06-07;100,25;100,75;100,25;100,75;0;0
2019-06-06;100,25;100,25;100,25;100,25;0;0
2019-06-05;100,25;100,25;100,25;100,25;0;0
2019-06-04;100,25;100,25;100,25;100,25;0;0
2019-06-03;100,50;100,50;100,25;100,25;0;0
2019-05-31;100,50;100,50;100,05;100,50;0;0
2019-05-30;100,50;100,50;100,50;100,50;0;0
2019-05-29;100,50;100,50;100,50;100,50;0;0
2019-05-28;100,50;100,50;100,50;100,50;0;0
2019-05-27;100,75;100,75;100,75;100,75;0;0
2019-05-24;100,75;100,75;100,75;100,75;0;0
2019-05-23;100,75;100,75;100,75;100,75;0;0
2019-05-22;100,75;100,75;100,75;100,75;0;0
2019-05-21;100,75;100,75;100,75;100,75;0;0
2019-05-20;100,75;100,75;100,75;100,75;0;0
2019-05-17;100,75;100,75;100,75;100,75;0;0
2019-05-16;100,75;100,75;100,75;100,75;0;0
2019-05-15;100,75;100,75;100,75;100,75;0;0
2019-05-14;100,75;100,75;100,75;100,75;0;0
2019-05-13;100,75;100,75;100,75;100,75;0;0
2019-05-10;100,75;100,75;100,75;100,75;0;0
2019-05-09;100,75;100,75;100,75;100,75;0;0
2019-05-08;100,75;100,75;100,75;100,75;0;0
2019-05-07;100,75;100,75;100,75;100,75;0;0
2019-05-06;100,75;100,75;100,75;100,75;0;0
2019-05-03;100,75;100,75;100,75;100,75;0;0
2019-05-02;100,75;100,75;100,75;100,75;0;0
2019-04-30;100,75;100,75;100,75;100,75;0;0
2019-04-29;100,75;100,75;100,75;100,75;0;0
2019-04-26;100,75;100,75;100,75;100,75;0;0
2019-04-25;100,75;100,75;100,75;100,75;0;0
2019-04-24;100,75;100,75;100,75;100,75;0;0
2019-04-23;100,75;100,75;100,75;100,75;0;0
2019-04-18;100,75;100,75;100,75;100,75;0;0
2019-04-17;100,75;100,75;100,75;100,75;0;0
2019-04-16;100,75;100,75;100,75;100,75;0;0
2019-04-15;100,75;100,75;100,75;100,75;0;0
2019-04-12;100,75;100,75;100,75;100,75;0;0
2019-04-11;100,75;100,75;100,75;100,75;0;0
2019-04-10;101,50;101,50;100,50;100,75;100.000;101.500
2019-04-09;101,50;101,50;101,50;101,50;0;0
2019-04-08;101,50;101,50;101,50;101,50;0;0
2019-04-05;101,50;101,50;101,50;101,50;0;0
2019-04-04;101,00;101,50;100,00;101,50;0;0
2019-04-03;100,00;101,00;100,00;101,00;0;0
2019-04-02;100,00;100,00;100,00;100,00;0;0
2019-04-01;100,00;100,00;100,00;100,00;0;0
2019-03-29;100,00;100,00;100,00;100,00;0;0
2019-03-28;100,00;100,00;100,00;100,00;0;0
2019-03-27;100,00;100,00;100,00;100,00;0;0
2019-03-26;99,75;100,00;99,75;100,00;0;0
2019-03-25;99,75;99,75;99,75;99,75;0;0
2019-03-22;99,75;99,75;99,75;99,75;0;0
2019-03-21;99,75;99,75;99,75;99,75;0;0
2019-03-20;99,75;99,75;99,75;99,75;0;0
2019-03-19;99,75;99,75;99,75;99,75;0;0
2019-03-18;99,75;99,75;99,75;99,75;0;0
2019-03-15;99,75;99,75;99,75;99,75;0;0
2019-03-14;99,75;99,75;99,75;99,75;0;0
2019-03-13;99,75;99,75;99,75;99,75;0;0
2019-02-08;99,75;99,75;99,75;99,75;0;0
2019-02-07;99,75;99,75;99,75;99,75;0;0
2019-02-06;99,75;99,75;99,75;99,75;0;0
2019-02-05;99,75;99,75;99,75;99,75;0;0
2019-02-04;99,50;99,75;99,50;99,75;0;0
2019-02-01;99,50;99,50;99,50;99,50;0;0
2019-01-31;99,50;99,50;99,50;99,50;0;0
2019-01-30;100,00;100,00;99,50;99,50;100.000;100.000
2019-01-29;99,50;99,50;99,50;99,50;0;0
2019-01-28;99,50;99,50;99,50;99,50;0;0
2019-01-25;99,50;99,50;99,50;99,50;0;0
2019-01-24;99,50;99,50;99,50;99,50;0;0
2019-01-23;99,50;99,50;99,50;99,50;0;0
2019-01-22;99,50;99,50;99,50;99,50;0;0
2019-01-21;99,50;99,50;99,50;99,50;0;0
2019-01-18;99,50;99,50;99,50;99,50;0;0
2019-01-17;99,50;99,50;99,50;99,50;0;0
2019-01-16;99,50;99,50;99,50;99,50;0;0
2019-01-15;99,50;99,50;99,50;99,50;0;0
2019-01-14;99,50;99,50;99,50;99,50;0;0
2019-01-11;99,50;99,50;99,50;99,50;0;0
2019-01-10;99,50;99,50;99,50;99,50;0;0
2019-01-09;99,50;99,50;99,50;99,50;0;0
2019-01-08;99,50;99,50;99,50;99,50;0;0
2019-01-07;99,50;99,50;99,50;99,50;0;0
2019-01-04;99,50;99,50;99,50;99,50;0;0
2019-01-03;99,50;99,50;99,50;99,50;0;0
2019-01-02;99,50;99,50;99,50;99,50;0;0
2018-12-28;99,50;99,50;99,50;99,50;0;0
2018-12-27;99,50;99,50;99,50;99,50;0;0
2018-12-21;99,50;99,50;99,50;99,50;0;0
2018-12-20;99,50;99,50;99,50;99,50;0;0
2018-12-19;100,50;101,00;100,50;101,00;100.000;101.000
2018-12-18;100,50;100,50;100,50;100,50;0;0
2018-12-17;99,50;100,50;99,50;100,50;0;0
2018-12-14;99,50;99,50;99,50;99,50;0;0
2018-12-13;99,50;99,50;99,50;99,50;0;0
2018-12-12;99,50;99,50;99,50;99,50;0;0
2018-12-11;99,50;99,50;99,50;99,50;0;0
2018-12-10;99,50;99,50;99,50;99,50;0;0
2018-12-07;99,50;99,50;99,50;99,50;0;0
2018-12-06;99,50;99,50;99,50;99,50;0;0
2018-12-05;99,50;99,50;99,50;99,50;0;0
2018-12-04;99,50;99,50;99,50;99,50;0;0
2018-12-03;99,50;99,50;99,50;99,50;0;0
2018-11-30;99,50;99,50;99,50;99,50;0;0
2018-11-29;99,50;99,50;99,50;99,50;0;0
2018-11-28;99,50;99,50;99,50;99,50;0;0
2018-11-27;99,50;99,50;99,50;99,50;0;0
2018-11-26;99,50;99,50;99,50;99,50;0;0
2018-11-23;99,50;99,50;99,50;99,50;0;0
2018-11-22;99,50;99,50;99,50;99,50;0;0
2018-11-21;100,00;100,00;99,50;99,50;0;0
2018-11-20;100,00;100,00;100,00;100,00;0;0
2018-11-19;99,25;101,50;99,25;100,00;100.000;101.500
2018-11-16;99,25;99,25;99,25;99,25;0;0
2018-11-15;99,50;99,50;99,50;99,50;0;0
2018-11-14;99,50;99,50;99,50;99,50;0;0
2018-11-13;99,50;99,50;99,50;99,50;0;0
2018-11-12;99,50;99,50;99,50;99,50;0;0
2018-11-09;99,50;99,50;99,50;99,50;0;0
2018-11-08;99,75;100,00;99,75;100,00;300.000;300.000
2018-11-07;99,75;99,75;99,75;99,75;0;0
2018-11-06;99,75;99,75;99,75;99,75;0;0
2018-11-05;99,75;99,75;99,75;99,75;0;0
2018-11-02;99,75;99,75;99,75;99,75;0;0
2018-11-01;99,75;99,75;99,75;99,75;0;0
2018-10-31;99,75;99,75;99,75;99,75;0;0
2018-10-30;99,75;99,75;99,75;99,75;0;0
2018-10-29;99,75;99,75;99,75;99,75;0;0
2018-10-26;99,75;99,75;99,75;99,75;0;0
2018-10-25;99,75;99,75;99,75;99,75;0;0
