Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2013-04-12;44,415;44,415;44,415;44,415;;
2013-04-11;44,675;44,675;44,675;44,675;;
2013-04-10;44,635;44,635;44,635;44,635;;
2013-04-09;44,86;44,86;44,86;44,86;;
2013-04-08;44,65;44,65;44,65;44,65;;
2013-04-05;44,64;44,64;44,64;44,64;;
2013-04-04;45,645;45,70;45,645;45,70;200;9.140
2013-04-03;45,595;45,595;45,595;45,595;;
2013-04-02;45,51;45,51;45,50;45,50;8.000;364.000
2013-03-28;44,98;44,98;44,98;44,98;;
2013-03-27;45,495;45,495;45,495;45,495;;
2013-03-26;45,34;45,34;45,34;45,34;;
2013-03-25;45,055;45,055;45,055;45,055;950;42.994
2013-03-22;44,775;44,775;44,775;44,775;;
2013-03-21;44,535;44,535;44,535;44,535;;
2013-03-20;45,235;45,235;45,235;45,235;;
2013-03-19;45,025;45,025;45,025;45,025;;
2013-03-18;43,43;43,43;43,43;43,43;;
2013-03-15;44,30;44,30;44,30;44,30;;
2013-03-14;44,895;44,895;44,895;44,895;;
2013-03-13;44,79;44,79;44,79;44,79;;
2013-03-12;44,5623;44,5623;44,5623;44,5623;;
2013-03-11;44,5821;44,5821;44,5821;44,5821;;
2013-03-08;44,3833;44,3833;44,3833;44,3833;;
2013-03-07;44,6766;44,6766;44,6766;44,6766;;
2013-03-06;44,5374;44,5374;44,5374;44,5374;;
2013-03-05;44,5722;45,1786;44,5722;45,1786;881;39.426
2013-03-04;44,3336;44,3336;44,3336;44,3336;;
2013-03-01;40,8098;40,8098;40,8098;40,8098;;
2013-02-27;40,9937;40,9937;40,9937;40,9937;;
2013-02-26;40,7054;40,7054;40,7054;40,7054;;
2013-02-25;41,1378;41,1378;41,1378;41,1378;;
2013-02-22;40,6806;40,6806;40,6806;40,6806;;
2013-02-21;40,6359;40,6359;40,6359;40,6359;;
2013-02-20;40,7999;40,7999;40,7999;40,7999;;
2013-02-19;41,0981;41,0981;41,0981;41,0981;;
2013-02-18;41,2025;41,2025;41,2025;41,2025;;
2013-02-15;40,606;40,606;40,606;40,606;;
2013-02-14;41,0583;41,0583;41,0583;41,0583;;
2013-02-13;40,775;40,775;40,775;40,775;;
2013-02-12;40,6259;40,6259;40,6259;40,6259;;
2013-02-11;40,7204;40,7204;40,7204;40,7204;;
2013-02-08;40,6706;40,6706;40,6706;40,6706;;
2013-02-06;39,2442;39,2442;39,2442;39,2442;;
2013-02-05;39,8058;39,8058;39,8058;39,8058;;
2013-02-04;39,4281;39,4281;39,4281;39,4281;;
2013-02-01;39,1001;39,1001;39,1001;39,1001;;
2013-01-31;38,8466;38,8466;38,8466;38,8466;;
2013-01-30;39,0355;39,0355;39,0355;39,0355;;
2013-01-29;39,2591;39,2591;39,2591;39,2591;;
2013-01-28;39,0852;39,0852;39,0852;39,0852;;
2013-01-25;39,0703;39,0703;39,0703;39,0703;;
2013-01-24;38,8416;38,8416;38,8416;38,8416;;
2013-01-23;39,274;39,274;39,274;39,274;;
2013-01-22;39,3237;39,3237;39,3237;39,3237;;
2013-01-21;39,3734;39,3734;39,3734;39,3734;;
2013-01-18;38,8466;38,8466;38,8466;38,8466;;
2013-01-17;39,3138;39,3138;39,3138;39,3138;;
2013-01-16;39,1498;39,1498;39,1498;39,1498;;
2013-01-15;39,1796;39,1796;39,1796;39,1796;0;
