Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2017-12-29;98,874;98,874;98,874;98,874;0;0
2017-12-28;98,874;98,874;98,874;98,874;0;0
2017-12-27;98,874;98,874;98,874;98,874;0;0
2017-12-22;98,874;98,874;98,874;98,874;0;0
2017-12-21;98,874;98,874;98,874;98,874;0;0
2017-12-20;98,874;98,874;98,874;98,874;0;0
2017-12-19;98,874;98,874;98,874;98,874;0;0
2017-12-18;98,692;98,692;98,692;98,692;0;0
2017-12-15;98,874;98,874;98,874;98,874;0;0
2017-12-14;98,874;98,874;98,874;98,874;0;0
2017-12-13;98,874;98,874;98,874;98,874;0;0
2017-12-12;98,874;98,874;98,874;98,874;0;0
2017-12-11;98,874;98,874;98,874;98,874;0;0
2017-12-08;99,067;99,067;99,067;99,067;0;0
2017-12-07;98,999;98,999;98,999;98,999;0;0
2017-12-06;99,129;99,129;99,129;99,129;0;0
2017-12-05;99,424;99,424;99,424;99,424;0;0
2017-12-04;99,424;99,424;99,424;99,424;0;0
2017-12-01;99,424;99,424;99,424;99,424;0;0
2017-11-30;99,592;99,592;99,592;99,592;0;0
2017-11-29;99,549;99,549;99,549;99,549;0;0
2017-11-28;99,654;99,654;99,654;99,654;0;0
2017-11-27;99,654;99,654;99,654;99,654;0;0
2017-11-24;99,549;99,549;99,549;99,549;0;0
2017-11-23;99,759;99,759;99,759;99,759;0;0
2017-11-22;99,759;99,759;99,759;99,759;0;0
2017-11-21;99,704;99,704;99,704;99,704;0;0
2017-11-20;99,704;99,704;99,704;99,704;0;0
2017-11-17;99,704;99,704;99,704;99,704;0;0
2017-11-16;99,704;99,704;99,704;99,704;0;0
2017-11-15;99,649;99,649;99,649;99,649;0;0
2017-11-14;99,704;99,704;99,704;99,704;0;0
2017-11-13;99,704;99,704;99,704;99,704;0;0
2017-11-10;99,899;99,899;99,899;99,899;0;0
2017-11-09;99,829;99,829;99,829;99,829;0;0
2017-11-08;99,829;99,829;99,829;99,829;0;0
2017-11-07;99,829;99,829;99,829;99,829;0;0
2017-11-06;99,829;99,829;99,829;99,829;0;0
2017-11-03;99,829;99,829;99,829;99,829;0;0
2017-11-02;99,829;99,829;99,829;99,829;0;0
2017-11-01;99,829;99,829;99,829;99,829;0;0
2017-10-31;99,829;99,829;99,829;99,829;0;0
2017-10-30;99,759;99,759;99,759;99,759;0;0
2017-10-27;99,829;99,829;99,829;99,829;0;0
2017-10-26;99,899;99,899;99,899;99,899;0;0
2017-10-25;99,829;99,829;99,829;99,829;0;0
2017-10-24;99,829;99,829;99,829;99,829;0;0
2017-10-23;99,899;99,899;99,899;99,899;0;0
2017-10-20;99,899;99,899;99,899;99,899;0;0
2017-10-19;99,899;99,899;99,899;99,899;0;0
2017-10-18;99,454;99,454;99,454;99,454;0;0
2017-10-17;99,204;99,204;99,204;99,204;0;0
2017-10-16;98,759;98,759;98,759;98,759;0;0
2017-10-13;99,204;99,204;99,204;99,204;0;0
2017-10-12;99,204;99,204;99,204;99,204;0;0
2017-10-11;99,649;99,649;99,649;99,649;0;0
2017-10-10;99,279;99,279;99,279;99,279;0;0
2017-10-09;99,799;99,799;99,799;99,799;0;0
2017-10-06;99,009;99,009;99,009;99,009;0;0
2017-10-05;99,009;99,009;99,009;99,009;0;0
2017-10-04;99,009;99,009;99,009;99,009;0;0
2017-10-03;98,759;98,759;98,759;98,759;0;0
2017-10-02;98,759;98,759;98,759;98,759;0;0
2017-09-29;98,259;98,259;98,259;98,259;0;0
2017-09-28;98,759;98,759;98,759;98,759;0;0
2017-09-27;98,759;98,759;98,759;98,759;0;0
2017-09-26;98,759;98,759;98,759;98,759;0;0
2017-09-25;98,884;98,884;98,884;98,884;0;0
2017-09-22;99,259;99,259;99,259;99,259;0;0
2017-09-21;99,759;99,759;99,759;99,759;0;0
2017-09-20;98,259;98,259;98,259;98,259;0;0
2017-09-19;99,009;99,009;99,009;99,009;0;0
2017-09-18;98,884;98,884;98,884;98,884;0;0
2017-09-15;98,884;98,884;98,884;98,884;0;0
2017-09-14;99,759;99,759;99,759;99,759;0;0
2017-09-13;99,759;99,759;99,759;99,759;0;0
2017-09-12;99,759;99,759;99,759;99,759;0;0
2017-09-11;99,634;99,634;99,634;99,634;0;0
2017-09-08;99,634;99,634;99,634;99,634;0;0
2017-09-07;99,634;99,634;99,634;99,634;0;0
2017-09-06;99,634;99,634;99,634;99,634;0;0
2017-09-05;99,634;99,634;99,634;99,634;0;0
2017-09-04;99,759;99,759;99,759;99,759;0;0
2017-09-01;99,509;99,509;99,509;99,509;0;0
2017-08-31;99,634;99,634;99,634;99,634;0;0
2017-08-30;99,759;99,759;99,759;99,759;0;0
2017-08-29;99,759;99,759;99,759;99,759;0;0
2017-08-28;99,759;99,759;99,759;99,759;0;0
2017-08-25;100,009;100,009;100,009;100,009;0;0
2017-08-24;99,759;99,759;99,759;99,759;0;0
2017-08-23;100,009;100,009;100,009;100,009;0;0
2017-08-22;100,009;100,009;100,009;100,009;0;0
2017-08-21;100,009;100,009;100,009;100,009;0;0
2017-08-18;100,009;100,009;100,009;100,009;0;0
2017-08-17;100,009;100,009;100,009;100,009;0;0
2017-08-16;100,009;100,009;100,009;100,009;0;0
2017-08-15;100,009;100,009;100,009;100,009;0;0
2017-08-14;100,009;100,009;100,009;100,009;0;0
2017-08-11;100,009;100,009;100,009;100,009;0;0
2017-08-10;100,009;100,009;100,009;100,009;0;0
2017-08-09;100,009;100,009;100,009;100,009;0;0
2017-08-08;100,009;100,009;100,009;100,009;0;0
2017-08-07;100,009;100,009;100,009;100,009;0;0
2017-08-04;100,009;100,009;100,009;100,009;0;0
2017-08-03;100,009;100,009;100,009;100,009;0;0
2017-08-02;100,009;100,009;100,009;100,009;0;0
2017-08-01;100,009;100,009;100,009;100,009;0;0
2017-07-31;100,009;100,009;100,009;100,009;0;0
