Datum;Erster;Hoch;Tief;Schlusskurs;Vol. (nom.);Volumen
2019-08-14;96,96;96,96;96,94;96,94;0;0
2019-08-13;96,95;96,95;96,90;96,90;0;0
2019-08-12;97,07;97,07;97,00;97,00;0;0
2019-08-09;97,23;97,23;97,07;97,07;0;0
2019-08-08;97,17;97,17;97,11;97,11;0;0
2019-08-07;97,54;97,54;97,23;97,23;0;0
2019-08-06;97,29;97,55;97,29;97,55;0;0
2019-08-05;97,29;97,41;97,29;97,41;0;0
2019-08-02;98,01;98,01;97,69;97,69;0;0
2019-08-01;98,09;98,09;98,08;98,08;0;0
2019-07-31;98,54;98,54;98,29;98,29;0;0
2019-07-30;98,54;98,54;98,25;98,25;0;0
2019-07-29;98,54;98,54;98,26;98,26;0;0
2019-07-26;98,72;98,72;98,27;98,27;0;0
2019-07-25;98,67;98,70;98,67;98,70;0;0
2019-07-24;98,74;98,74;98,68;98,68;0;0
2019-07-23;98,74;98,80;98,74;98,80;0;0
2019-07-22;98,90;98,90;98,90;98,90;0;0
2019-07-19;98,93;98,93;98,93;98,93;0;0
2019-07-18;98,87;98,87;98,81;98,81;0;0
2019-07-17;98,97;98,97;98,87;98,87;0;0
2019-07-16;99,05;99,12;99,05;99,12;0;0
2019-07-15;99,00;99,05;99,00;99,05;0;0
2019-07-12;99,06;99,08;99,06;99,08;0;0
2019-07-11;98,95;99,08;98,95;99,08;0;0
2019-07-10;99,10;99,10;99,08;99,08;0;0
2019-07-09;99,61;99,61;99,10;99,10;0;0
2019-07-08;99,60;99,62;99,60;99,62;0;0
2019-07-05;99,69;99,69;99,64;99,64;0;0
2019-07-04;99,71;101,65;99,61;99,61;100.000;101.650
2019-07-03;99,70;99,70;99,61;99,61;0;0
2019-07-02;99,58;99,61;99,58;99,61;0;0
2019-07-01;99,65;99,65;99,59;99,59;0;0
2019-06-28;99,62;99,67;99,62;99,67;0;0
2019-06-27;99,55;99,65;99,55;99,65;0;0
2019-06-26;99,59;99,59;99,55;99,55;0;0
2019-06-25;99,62;99,67;99,62;99,67;0;0
2019-06-24;99,61;99,63;99,61;99,63;0;0
2019-06-21;99,53;99,53;99,49;99,49;0;0
2019-06-20;99,00;99,20;99,00;99,20;0;0
2019-06-19;98,42;98,42;98,33;98,33;0;0
2019-06-18;97,79;98,10;97,79;98,10;0;0
2019-06-17;97,88;98,04;97,88;98,04;0;0
2019-06-14;97,74;97,79;97,74;97,79;0;0
2019-06-13;97,04;97,89;97,04;97,89;0;0
2019-06-12;97,61;97,61;97,58;97,58;0;0
2019-06-11;97,20;97,60;97,20;97,60;0;0
2019-06-07;95,43;95,75;95,43;95,75;0;0
2019-06-06;95,25;95,25;95,25;95,25;0;0
2019-06-05;94,77;95,19;94,77;95,19;0;0
2019-06-04;94,75;94,81;94,75;94,81;0;0
2019-06-03;94,94;94,94;94,77;94,77;0;0
2019-05-31;94,86;95,00;94,86;95,00;0;0
2019-05-30;94,70;94,77;94,70;94,77;0;0
2019-05-29;94,77;94,77;94,77;94,77;0;0
2019-05-28;94,76;94,77;94,76;94,77;0;0
2019-05-27;94,78;94,78;94,77;94,77;0;0
2019-05-24;94,75;94,75;94,75;94,75;0;0
2019-05-23;94,73;94,77;94,73;94,77;0;0
2019-05-22;94,40;94,65;94,40;94,65;0;0
2019-05-21;93,40;93,85;93,40;93,85;0;0
2019-05-20;93,40;93,40;93,40;93,40;0;0
2019-05-17;93,35;93,35;93,35;93,35;0;0
2019-05-16;93,10;93,30;93,10;93,30;0;0
2019-05-15;93,04;93,04;92,97;92,97;0;0
2019-05-14;93,09;93,10;93,09;93,10;0;0
2019-05-13;93,46;93,46;93,15;93,15;0;0
2019-05-10;93,36;93,36;93,29;93,29;0;0
2019-05-09;93,89;93,89;93,54;93,54;0;0
2019-05-08;94,40;94,40;93,87;93,87;0;0
2019-05-07;95,02;95,02;94,61;94,61;0;0
2019-05-06;95,28;95,28;95,28;95,28;0;0
2019-05-03;95,32;95,32;95,27;95,27;0;0
2019-05-02;95,07;95,34;95,07;95,34;0;0
2019-04-30;93,56;95,08;93,56;95,08;0;0
2019-04-29;93,45;93,68;93,45;93,68;0;0
2019-04-26;93,33;93,57;93,33;93,57;0;0
2019-04-25;93,45;93,50;93,45;93,50;0;0
2019-04-24;93,39;93,44;93,39;93,44;0;0
2019-04-23;93,51;93,51;93,44;93,44;0;0
2019-04-18;93,39;93,42;93,39;93,42;0;0
2019-04-17;92,96;93,43;92,96;93,43;0;0
2019-04-16;92,93;93,10;92,93;93,10;0;0
2019-04-15;92,92;93,18;92,92;93,18;0;0
2019-04-12;91,78;92,37;91,78;92,37;0;0
2019-04-11;91,44;92,35;91,44;92,35;0;0
2019-04-10;91,45;91,77;91,45;91,77;0;0
2019-04-09;91,47;91,53;91,47;91,53;0;0
2019-04-08;91,42;91,52;91,42;91,52;0;0
2019-04-05;91,45;91,45;91,42;91,42;0;0
2019-04-04;91,67;91,67;91,60;91,60;0;0
2019-04-03;91,42;91,42;91,42;91,42;0;0
2019-04-02;91,05;91,05;90,94;90,94;0;0
2019-04-01;89,90;91,00;89,90;91,00;0;0
2019-03-29;90,40;90,40;89,98;89,98;0;0
2019-03-28;89,67;89,67;89,60;89,60;0;0
2019-03-27;89,55;89,55;89,55;89,55;0;0
2019-03-26;89,33;89,33;89,25;89,25;0;0
2019-03-25;89,30;89,36;89,30;89,36;0;0
2019-03-22;89,50;89,50;89,44;89,44;0;0
2019-03-21;89,58;89,58;89,49;89,49;0;0
2019-03-20;89,69;89,69;89,68;89,68;0;0
2019-03-19;89,00;89,50;89,00;89,50;0;0
2019-03-18;89,00;89,00;89,00;89,00;0;0
2019-03-15;89,00;89,00;89,00;89,00;0;0
2019-03-14;89,47;89,47;89,47;89,47;0;0
2019-03-13;89,00;89,32;89,00;89,32;0;0
2019-03-12;89,00;89,25;89,00;89,25;0;0
2019-03-11;88,95;89,03;88,95;89,03;0;0
2019-03-08;89,18;89,18;88,93;88,93;0;0
2019-03-07;89,00;89,00;89,00;89,00;0;0
2019-03-06;88,74;88,74;88,74;88,74;0;0
2019-03-05;88,50;88,74;88,50;88,74;0;0
2019-03-04;87,82;88,34;87,82;88,34;0;0
2019-03-01;87,42;87,45;87,42;87,45;0;0
2019-02-28;87,42;87,61;87,42;87,61;0;0
2019-02-27;87,42;87,42;87,06;87,06;0;0
2019-02-26;86,05;86,82;86,05;86,82;0;0
2019-02-25;86,44;86,44;85,95;85,95;0;0
2019-02-22;86,44;86,44;86,43;86,43;0;0
2019-02-21;86,16;86,37;86,16;86,37;0;0
2019-02-20;85,94;86,07;85,94;86,07;0;0
2019-02-19;86,12;86,12;85,98;85,98;0;0
2019-02-18;86,10;86,10;86,06;86,06;0;0
2019-02-15;85,99;85,99;85,35;85,35;0;0
2019-02-14;86,50;86,50;86,50;86,50;0;0
2019-02-13;85,94;85,94;85,79;85,79;0;0
2019-02-12;85,94;85,94;85,30;85,30;0;0
2019-02-11;85,65;85,65;85,35;85,35;0;0
2019-02-08;86,45;86,45;86,45;86,45;0;0
2019-02-07;87,00;87,00;86,55;86,55;0;0
2019-02-06;86,42;86,42;86,40;86,40;0;0
2019-02-05;86,33;86,33;86,33;86,33;0;0
2019-02-04;85,25;86,00;85,25;86,00;0;0
2019-02-01;85,40;86,00;85,40;86,00;0;0
